DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;GPWS;GPWSM;TCAS
XX/12/19;07:01:47;DESCENT;AIR;AIR;AIR;5016;5016.00;1013.0;4640;2627;26.25;-31.813.419;-60.212.498;238;219;160;190.49;0.362;-1050;0.98;0.00;0.02;-11;59.06;10;-2.4;53324;0;-0.35;4.6;0.1;7.56;0.00;32.6;31.5;74.1;74.5;512;552;-;-;9552.63;4745.13;4807.50;468.11;464.48;12040.;27;0;WARNING;-;-
XX/12/19;07:01:48;DESCENT;AIR;AIR;AIR;4996;4996.00;1013.0;4620;2627;26.25;-31.805.477;-60.212.757;238;219;160;190.49;0.361;-1060;0.99;0.00;0.02;-11;59.06;10;-2.4;53324;0;-0.35;4.6;0.0;7.74;0.00;32.6;31.5;74.1;74.5;512;552;-;-;9552.89;4745.26;4807.63;471.74;468.11;12040.;27;0;WARNING;-;-
XX/12/19;07:01:49;DESCENT;AIR;AIR;AIR;4980;4980.00;1013.0;4604;2627;26.00;-31.794.493;-60.213.326;237;218;160;190.49;0.360;-1067;0.99;0.00;0.02;-11;59.41;10;-2.4;53324;0;-0.35;4.6;0.0;7.74;0.00;32.6;31.5;74.1;74.5;512;552;-;-;9553.15;4745.39;4807.76;471.74;468.11;12040.;27;0;WARNING;-;-
XX/12/19;07:01:50;DESCENT;AIR;AIR;AIR;4960;4960.00;1013.0;4584;2627;26.00;-31.785.338;-60.213.890;237;218;160;190.49;0.359;-1071;0.99;0.00;0.02;-11;59.77;10;-2.5;53324;0;-0.35;4.6;0.0;7.74;0.00;32.6;31.5;74.1;74.5;512;552;-;-;9553.41;4745.52;4807.89;471.74;468.11;12040.;27;0;WARNING;-;-
XX/12/19;07:01:50;DESCENT;AIR;AIR;AIR;4944;4944.00;1013.0;4568;2627;26.00;-31.776.190;-60.214.458;236;218;160;190.49;0.359;-1074;0.98;0.00;0.02;-10;60.12;10;-2.6;53324;0;-0.35;4.4;-0.1;7.74;0.00;32.6;31.5;74.1;74.5;512;552;-;-;9553.67;4745.65;4808.02;471.74;468.11;12040.;27;0;WARNING;-;-
XX/12/19;07:01:51;DESCENT;AIR;AIR;AIR;4924;4924.00;1013.0;4548;2627;26.00;-31.764.002;-60.214.874;236;217;160;190.49;0.358;-1076;0.98;0.00;0.02;-10;60.82;10;-2.6;53324;0;-0.35;4.4;-0.0;7.74;0.00;32.6;31.5;74.1;74.5;512;552;-;-;9553.93;4745.78;4808.15;471.74;468.11;12040.;27;0;WARNING;-;-
XX/12/19;07:01:52;DESCENT;AIR;AIR;AIR;4904;4904.00;1013.0;4528;2627;26.00;-31.754.847;-60.215.157;236;217;160;190.49;0.357;-1117;0.98;0.00;0.02;-11;61.88;10;-2.6;53324;0;-0.70;4.4;-0.0;7.74;0.00;32.6;31.5;74.0;74.5;513;552;-;-;9554.20;4745.91;4808.28;471.74;468.11;12040.;27;0;WARNING;-;-
XX/12/19;07:01:53;DESCENT;AIR;AIR;AIR;4884;4884.00;1013.0;4508;2627;26.25;-31.742.647;-60.215.439;235;217;160;190.49;0.357;-1144;1.00;0.00;0.02;-10;62.23;10;-2.6;53324;0;-0.35;4.4;-0.0;7.91;0.00;32.6;31.5;74.0;74.5;513;552;-;-;9554.46;4746.05;4808.41;471.74;468.11;12040.;27;0;WARNING;-;-
XX/12/19;07:01:54;DESCENT;AIR;AIR;AIR;4864;4864.00;1013.0;4488;2627;26.25;-31.731.107;-60.215.717;235;217;160;190.49;0.357;-1163;0.99;0.00;0.02;-10;62.58;10;-2.6;53324;0;-0.35;4.4;-0.0;7.91;0.00;32.6;31.5;74.1;74.5;513;553;-;-;9554.72;4746.18;4808.54;471.74;468.11;12040.;27;0;WARNING;-;-
XX/12/19;07:01:55;DESCENT;AIR;AIR;AIR;4844;4844.00;1013.0;4468;2627;26.25;-31.723.151;-60.216.305;235;216;160;190.49;0.356;-1175;1.00;0.00;0.02;-10;62.58;11;-2.6;53324;0;-0.35;4.4;-0.0;7.91;0.00;32.6;31.5;74.1;74.5;513;552;-;-;9554.98;4746.31;4808.67;471.74;468.11;12040.;27;0;WARNING;-;-
