DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;FD
XX/01/21;05:03:45;APPROACH;AIR;AIR;AIR;5008;5008.00;1013.0;4692;2629;23.75;-30.891.373;-60.225.288;227;217;160;153.55;0.359;-1017;1.01;0.00;-0.02;11;29.18;11;-1.3;53197;1;-1.05;3.3;0.0;5.10;0.00;32.3;31.3;73.4;74.0;513;566;9212.32;4573.49;4638.83;468.11;471.74;12280.;51;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;05:03:46;APPROACH;AIR;AIR;AIR;4996;4996.00;1013.0;4680;2629;23.75;-30.879.920;-60.225.174;226;216;160;153.55;0.357;-958;1.01;0.01;-0.02;11;29.18;11;-1.3;53197;1;-1.05;3.3;0.0;4.92;0.00;32.1;31.3;73.4;74.0;513;566;9212.58;4573.62;4638.96;471.74;471.74;12280.;51;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;05:03:47;APPROACH;AIR;AIR;AIR;4984;4984.00;1013.0;4668;2629;23.75;-30.871.921;-60.225.063;226;216;160;153.55;0.356;-880;1.01;0.01;-0.02;11;29.18;11;-1.3;53197;1;-0.70;3.5;0.1;4.92;0.00;32.1;31.3;73.4;74.0;514;566;9212.84;4573.75;4639.09;471.74;471.74;12280.;51;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;05:03:48;APPROACH;AIR;AIR;AIR;4972;4972.00;1013.0;4656;2629;23.75;-30.860.889;-60.224.957;225;215;160;160.07;0.355;-827;1.00;0.00;-0.02;11;28.83;11;-1.3;53197;2;-0.35;3.3;-0.1;4.75;0.00;32.1;31.3;73.4;74.0;513;567;9213.10;4573.88;4639.22;468.11;471.74;12280.;51;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;05:03:49;APPROACH;AIR;AIR;AIR;4956;4956.00;1013.0;4640;2629;23.75;-30.851.734;-60.224.842;224;214;160;160.07;0.354;-831;0.99;0.00;-0.02;11;28.48;11;-1.3;53197;2;-0.35;3.2;-0.1;4.75;0.00;32.1;31.3;73.4;74.0;514;567;9213.36;4574.01;4639.35;468.11;471.74;12280.;51;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;05:03:50;APPROACH;AIR;AIR;AIR;4944;4944.00;1013.0;4628;2629;23.75;-30.839.546;-60.224.735;224;214;160;160.07;0.353;-834;0.99;0.01;-0.02;11;28.83;11;-1.3;53197;2;-0.35;3.3;0.1;4.75;0.00;32.1;31.3;73.4;74.0;514;567;9213.63;4574.14;4639.48;471.74;471.74;12280.;51;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;05:03:51;APPROACH;AIR;AIR;AIR;4932;4932.00;1013.0;4616;2629;23.75;-30.827.374;-60.224.625;223;213;160;160.07;0.352;-796;1.02;0.00;-0.02;11;28.83;11;-1.4;53197;2;0.00;3.5;0.1;5.10;0.00;32.1;31.3;73.4;74.0;514;568;9213.89;4574.27;4639.62;471.74;471.74;12280.;51;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;05:03:52;APPROACH;AIR;AIR;AIR;4920;4920.00;1013.0;4604;2629;23.75;-30.818.219;-60.224.514;222;212;160;160.07;0.350;-771;1.02;0.00;-0.02;11;29.18;11;-1.4;53197;2;0.00;3.5;0.0;5.10;0.00;32.1;31.3;73.4;74.0;514;568;9214.15;4574.40;4639.75;471.74;471.74;12280.;51;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;05:03:53;APPROACH;AIR;AIR;AIR;4912;4912.00;1013.0;4596;2629;23.75;-30.806.034;-60.224.407;221;212;160;160.07;0.349;-715;1.01;0.01;-0.02;11;29.53;11;-1.4;53197;2;0.00;3.7;0.1;4.92;0.00;32.1;31.1;73.4;74.0;515;568;9214.41;4574.53;4639.88;471.74;475.37;12280.;51;AP ENGAGED;AT ENGAGED;FD1 ON
XX/01/21;05:03:54;APPROACH;AIR;AIR;AIR;4900;4900.00;1013.0;4584;2629;23.75;-30.796.878;-60.224.293;220;211;160;160.07;0.348;-677;1.02;0.00;-0.02;11;29.88;11;-1.4;53197;2;0.00;3.7;0.0;4.92;0.00;32.1;31.1;73.4;74.0;515;568;9214.67;4574.67;4640.01;471.74;475.37;12280.;51;AP ENGAGED;AT ENGAGED;FD1 ON
