DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCH_CPT;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD;PITCH_TRM;ROLL_CPT;VHF_KEYING_L;VHF_KEYING_R;AP_OFF
XX/04/22;17:42:54;APPROACH;AIR;AIR;AIR;5008;5008.00;1013.0;3004;2627;23.25;-22.851.944;-47.254.028;196;181;143;141.72;0.299;-1094;0.98;0.01;-0.02;-123;210.59;4;0.2;42910;5;-1.41;1.9;-0.29;0.1;4.22;0.00;32.0;30.8;73.8;73.6;539;536;0;0;6533.68;3275.85;3257.83;471.74;464.48;9160.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.09;-3.10;0.85;2.20;0.32;5.85;0;1;1;0
XX/04/22;17:42:55;APPROACH;AIR;AIR;AIR;4988;4988.00;1013.0;2984;2627;23.50;-22.852.609;-47.254.272;195;181;143;141.72;0.299;-1129;0.99;0.01;-0.01;-123;206.37;4;0.4;42910;5;-1.05;1.9;-0.59;0.0;4.75;0.00;32.0;30.6;73.8;73.6;539;534;0;0;6533.94;3275.98;3257.96;471.74;460.85;9160.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.09;-3.40;0.85;0.96;0.25;5.85;0;1;1;0
XX/04/22;17:42:56;APPROACH;AIR;AIR;AIR;4964;4964.00;1013.0;2960;2627;23.50;-22.853.416;-47.254.978;195;182;143;141.72;0.300;-1192;0.96;-0.00;-0.02;-123;198.28;4;0.7;42910;5;-0.70;1.8;-0.38;-0.1;4.40;0.00;32.0;30.8;73.8;73.6;539;536;0;0;6534.21;3276.11;3258.09;475.37;471.74;9160.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.40;0.85;0.96;0.32;5.82;0;1;1;0
XX/04/22;17:42:57;APPROACH;AIR;AIR;AIR;4948;4948.00;1013.0;2944;2627;23.50;-22.854.225;-47.255.676;195;182;143;141.72;0.301;-1195;1.01;0.02;-0.01;-124;189.14;4;1.1;42910;5;-0.35;1.6;-0.34;-0.1;3.52;0.00;32.0;30.6;73.8;73.6;539;535;0;0;6534.47;3276.25;3258.22;475.37;464.48;9120.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.00;-3.10;0.85;0.79;0.51;5.85;0;1;1;0
XX/04/22;17:42:58;APPROACH;AIR;AIR;AIR;4924;4924.00;1013.0;2920;2627;23.50;-22.854.946;-47.256.374;195;178;143;141.72;0.294;-1196;0.89;-0.03;-0.02;-124;176.13;5;1.8;42910;5;-0.35;1.6;-0.25;-0.0;5.28;0.00;32.0;30.8;73.8;73.6;540;536;0;0;6534.73;3276.38;3258.35;475.37;468.11;9120.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.60;-3.10;-2.26;0.79;-0.25;5.82;0;1;1;0
XX/04/22;17:42:59;APPROACH;AIR;AIR;AIR;4900;4900.00;1013.0;2896;2627;23.50;-22.855.672;-47.257.069;195;182;143;141.72;0.300;-1277;1.07;-0.04;0.00;-124;165.94;5;1.3;42910;5;-3.16;1.9;0.29;0.2;5.98;0.00;32.0;30.8;73.8;73.8;540;537;0;0;6534.99;3276.51;3258.48;478.99;468.11;9120.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.60;-2.35;-2.26;4.19;-0.51;5.85;0;1;1;0
XX/04/22;17:43:00;APPROACH;AIR;AIR;AIR;4884;4884.00;1013.0;2880;2627;23.75;-22.856.477;-47.257.374;195;180;143;141.72;0.296;-1251;1.05;-0.00;-0.00;-124;170.16;4;0.4;42910;5;-3.52;2.3;0.25;0.2;5.63;0.00;32.0;30.8;73.8;73.6;540;536;0;0;6535.26;3276.64;3258.61;478.99;468.11;9120.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.00;-2.35;0.23;4.19;-0.19;5.85;0;1;1;0
XX/04/22;17:43:01;APPROACH;AIR;AIR;AIR;4864;4864.00;1013.0;2860;2627;23.75;-22.857.143;-47.257.984;195;179;143;141.72;0.295;-1195;1.02;0.00;-0.01;-123;176.84;3;-0.4;42910;5;-1.41;2.5;0.21;0.2;5.45;0.00;32.0;30.6;73.8;73.6;540;536;0;0;6535.52;3276.78;3258.74;478.99;468.11;9120.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.00;-2.45;0.23;1.01;0.25;5.88;0;1;1;0
XX/04/22;17:43:02;APPROACH;AIR;AIR;AIR;4848;4848.00;1013.0;2844;2627;23.75;-22.857.807;-47.258.595;195;178;143;141.72;0.293;-1157;1.08;0.01;0.00;-123;190.55;2;-0.5;42910;5;-0.35;3.0;0.04;0.3;5.45;0.00;32.0;30.6;73.8;73.6;540;536;0;0;6535.78;3276.91;3258.87;478.99;468.11;9120.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.45;-2.45;0.51;1.01;0.57;5.97;0;1;1;0
XX/04/22;17:43:03;APPROACH;AIR;AIR;AIR;4832;4832.00;1013.0;2828;2627;23.75;-22.858.469;-47.259.209;194;177;143;141.72;0.291;-1092;1.00;0.00;-0.00;-123;211.29;1;-0.5;42910;5;0.00;3.2;-0.21;0.2;5.80;0.00;32.0;30.6;73.8;73.6;541;537;0;0;6536.05;3277.04;3259.00;478.99;471.74;9120.0;0;AP ENGAGED;AT ENGAGED;0;0;-;-3.45;-3.10;0.51;1.92;0.32;6.15;0;1;1;0
