DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;ROLL_CPT;PITCH;PITCH_CPT;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD_PDL_FORCE;RUDD;PITCH_TRM;VHF_KEYING_L;VHF_KEYING_R;AP_OFF
XX/03/22;07:03:48;DESCENT;AIR;AIR;AIR;5005;4892.00;1013.0;4649;2053;25.75;-31.277.466;-60.223.618;243;224;161;192.84;0.368;-1020;0.99;0.00;0.01;15;-72.77;0;-3.2;54377;0;0.35;1.69;4.0;6.36;0.2;6.33;-3.73;34.8;35.2;74.0;74.8;566;582;IDLE;IDLE;16773.6;8405.61;8368.03;1307.6;1350.2;5914.9;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.45;-3.75;1.40;-1.45;616.50;0.32;5.79;1;1;0
XX/03/22;07:03:49;DESCENT;AIR;AIR;AIR;4989;4875.00;1013.0;4633;2053;25.75;-31.266.022;-60.223.423;243;223;161;192.84;0.368;-1000;1.00;0.00;0.02;15;-180.0;0;-3.2;54377;0;0.35;1.69;4.0;6.34;0.0;6.33;-3.73;34.9;35.2;75.1;74.8;566;582;IDLE;IDLE;16774.3;8405.98;8368.40;1319.7;1350.2;5914.9;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.45;-3.80;1.52;-1.40;-1233.00;0.32;5.79;1;1;0
XX/03/22;07:03:50;DESCENT;AIR;AIR;AIR;4975;4862.00;1013.0;4619;2053;25.75;-31.254.578;-60.223.228;243;223;161;192.84;0.368;-967;1.01;0.00;0.02;15;-72.77;0;-3.2;54377;0;0.35;1.55;4.2;6.34;0.1;6.15;-3.73;34.9;35.2;76.3;74.8;566;582;IDLE;IDLE;16775.1;8406.34;8368.78;1319.7;1356.2;5914.9;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.40;-3.80;1.58;-1.40;616.50;0.32;5.79;1;1;0
XX/03/22;07:03:51;DESCENT;AIR;AIR;AIR;4961;4848.00;1013.0;4605;2053;25.75;-31.243.896;-60.223.038;242;223;161;192.84;0.366;-925;1.02;0.00;0.01;15;0.00;0;-3.3;54377;0;0.35;1.55;4.2;6.34;0.0;5.80;-3.72;34.8;35.2;74.3;74.8;566;583;IDLE;IDLE;16775.8;8406.71;8369.16;1319.7;1356.2;5914.9;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.40;-3.75;1.58;-1.40;-1233.00;0.38;5.76;1;1;0
XX/03/22;07:03:52;APPROACH;AIR;AIR;AIR;4948;4835.00;1013.0;4592;2053;25.75;-31.232.452;-60.222.843;242;222;161;155.65;0.366;-887;1.01;0.00;0.01;15;-72.77;0;-3.3;54377;1;0.35;1.62;4.0;6.34;-0.2;5.45;-3.70;34.8;35.2;73.8;74.8;568;583;IDLE;IDLE;16776.6;8407.08;8369.54;1325.8;1362.3;5914.9;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.40;-3.75;1.52;-1.40;-616.50;0.38;5.76;1;1;0
XX/03/22;07:03:53;APPROACH;AIR;AIR;AIR;4935;4821.00;1013.0;4579;2053;25.75;-31.221.008;-60.222.649;241;222;161;155.65;0.366;-852;1.01;-0.00;0.00;15;-180.0;0;-3.3;54377;1;0.35;1.69;4.0;6.34;-0.0;5.27;-3.71;34.8;35.2;74.9;74.8;569;583;IDLE;IDLE;16777.3;8407.45;8369.91;1325.8;1356.2;5914.9;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.85;1.58;-1.45;-1233.00;0.44;5.73;1;1;0
XX/03/22;07:03:54;APPROACH;AIR;AIR;AIR;4923;4811.00;1013.0;4567;2053;25.75;-31.210.327;-60.222.458;241;222;161;155.65;0.364;-818;1.01;0.00;-0.00;15;-72.77;0;-3.3;54377;1;0.00;1.69;4.0;6.34;-0.0;5.27;-3.69;34.8;35.0;76.0;74.8;570;586;IDLE;IDLE;16778.1;8407.82;8370.29;1331.9;1368.4;5914.9;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.75;1.52;-1.45;616.50;0.38;5.73;1;1;0
XX/03/22;07:03:55;APPROACH;AIR;AIR;AIR;4913;4800.00;1013.0;4557;2053;25.75;-31.198.883;-60.222.267;240;221;161;155.65;0.364;-766;0.98;0.00;-0.00;15;0.00;0;-3.3;54377;1;0.00;1.69;3.9;6.49;-0.2;5.10;-3.66;34.8;35.0;74.2;74.8;571;588;IDLE;IDLE;16778.8;8408.19;8370.67;1331.9;1362.3;5914.9;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.59;-3.50;1.46;-1.51;-1233.00;0.38;5.70;1;1;0
XX/03/22;07:03:56;APPROACH;AIR;AIR;AIR;4901;4789.00;1013.0;4545;2053;25.75;-31.187.439;-60.222.073;239;220;161;155.65;0.362;-731;0.97;0.00;-0.01;15;-72.77;0;-3.4;54377;1;0.00;1.69;3.9;6.68;-0.0;5.10;-3.64;34.8;35.0;73.4;74.6;571;588;IDLE;IDLE;16779.6;8408.56;8371.05;1331.9;1368.4;5914.9;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.84;-3.26;1.52;-1.51;-1233.00;0.38;5.61;1;1;0
XX/03/22;07:03:57;APPROACH;AIR;AIR;AIR;4890;4777.00;1013.0;4534;2053;25.75;-31.175.995;-60.221.813;239;220;161;155.65;0.362;-717;0.98;0.00;-0.01;16;-180.0;0;-3.4;54377;1;0.00;1.55;3.9;6.70;-0.0;5.27;-3.61;34.8;35.0;76.0;74.8;572;589;IDLE;IDLE;16780.3;8408.93;8371.43;1338.0;1368.4;5914.9;0;AP ENGAGED;AT ENGAGED;0;0;-;-4.89;-3.21;1.70;-1.34;616.50;0.38;5.61;1;1;0
