DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD_PDL_FORCE;RUDD;PITCH_TRM
XX/06/21;05:13:55;DESCENT;AIR;AIR;AIR;4734;4752.00;1013.0;4496;2054;26.50;-31.670.380;-60.224.617;285;250;159;189.67;0.410;-1519;0.99;-0.02;-0.02;-32;-72.77;0;-1.6;52962;0;10.55;1.2;-0.0;3.87;-3.14;35.0;35.8;75.1;74.5;559;572;IDLE;IDLE;16421.3;8248.54;8172.80;1313.7;1362.3;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.59;-3.70;-1.34;-1.80;1232.40;-0.58;5.30
XX/06/21;05:13:56;DESCENT;AIR;AIR;AIR;4707;4726.00;1013.0;4469;2054;26.50;-31.660.461;-60.225.605;285;250;159;189.67;0.410;-1532;0.99;-0.02;-0.02;-32;0.00;0;-1.8;52962;0;11.60;1.2;-0.0;3.87;-3.10;35.0;35.8;74.5;74.5;559;572;IDLE;IDLE;16422.0;8248.91;8173.18;1313.7;1362.3;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.54;-3.65;-0.64;-1.10;-1233.00;-0.45;5.33
XX/06/21;05:13:57;DESCENT;AIR;AIR;AIR;4681;4699.00;1013.0;4443;2054;26.75;-31.651.306;-60.226.521;285;250;159;189.67;0.410;-1551;0.99;-0.01;-0.02;-31;-72.77;0;-2.0;52962;0;11.95;1.2;-0.0;3.87;-3.22;35.0;35.8;75.7;74.5;560;572;IDLE;IDLE;16422.8;8249.27;8173.55;1319.7;1362.3;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.50;-3.80;0.18;-0.34;-1233.00;-0.39;5.39
XX/06/21;05:13:58;DESCENT;AIR;AIR;AIR;4654;4672.00;1013.0;4416;2054;26.75;-31.641.388;-60.227.516;285;250;159;189.67;0.408;-1564;0.99;-0.01;-0.01;-30;-180.0;0;-2.3;52962;0;12.66;1.2;-0.0;3.87;-3.23;35.0;35.8;74.2;74.5;561;572;IDLE;IDLE;16423.5;8249.64;8173.93;1319.7;1362.3;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.90;0.58;0.06;-1233.00;0.06;5.45
XX/06/21;05:13:59;DESCENT;AIR;AIR;AIR;4626;4645.00;1013.0;4388;2054;26.75;-31.631.470;-60.228.352;285;250;159;189.67;0.408;-1592;1.01;-0.01;-0.01;-28;-72.77;0;-2.3;52962;0;12.66;1.2;-0.0;3.87;-3.23;35.0;35.8;75.8;74.5;559;572;IDLE;IDLE;16424.3;8250.00;8174.31;1319.7;1368.4;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.85;0.76;0.29;-411.20;-0.20;5.48
XX/06/21;05:14:00;DESCENT;AIR;AIR;AIR;4599;4617.00;1013.0;4361;2054;26.75;-31.621.552;-60.229.267;285;250;159;189.67;0.408;-1611;1.00;-0.01;-0.01;-28;0.00;0;-2.3;52962;0;12.66;1.2;-0.0;3.87;-3.26;35.0;35.8;74.5;74.6;560;572;IDLE;IDLE;16425.0;8250.37;8174.69;1319.7;1368.4;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.40;-3.85;0.70;0.23;-1233.00;-0.26;5.48
XX/06/21;05:14:01;DESCENT;AIR;AIR;AIR;4573;4591.00;1013.0;4335;2054;26.75;-31.611.633;-60.230.263;285;250;159;189.67;0.408;-1604;1.01;-0.01;-0.01;-27;-72.77;0;-2.4;52962;0;12.30;1.2;-0.0;3.87;-3.26;35.0;35.8;75.7;74.5;559;572;IDLE;IDLE;16425.8;8250.74;8175.07;1319.7;1362.3;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.90;0.64;0.12;-0.60;-0.20;5.48
XX/06/21;05:14:02;DESCENT;AIR;AIR;AIR;4545;4562.00;1013.0;4307;2054;26.75;-31.600.952;-60.231.026;284;250;159;189.67;0.408;-1610;1.00;-0.01;-0.01;-26;-180.0;0;-2.4;52962;0;11.95;1.2;-0.0;3.87;-3.29;35.0;35.8;73.9;74.5;560;572;IDLE;IDLE;16426.5;8251.10;8175.45;1319.7;1368.4;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.90;0.58;0.06;-1233.00;-0.26;5.48
XX/06/21;05:14:03;DESCENT;AIR;AIR;AIR;4519;4537.00;1013.0;4281;2054;27.00;-31.591.034;-60.231.941;284;250;159;189.67;0.408;-1613;1.01;-0.01;-0.02;-25;-72.77;0;-2.4;52962;0;11.60;1.2;-0.0;3.87;-3.33;35.0;35.8;76.2;74.5;560;572;IDLE;IDLE;16427.3;8251.47;8175.83;1319.7;1368.4;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.90;0.47;-0.05;616.50;-0.33;5.48
XX/06/21;05:14:04;DESCENT;AIR;AIR;AIR;4492;4510.00;1013.0;4254;2054;27.00;-31.580.353;-60.232.704;284;250;159;189.67;0.408;-1605;1.01;-0.01;-0.02;-25;0.00;0;-2.5;52962;0;11.60;1.1;-0.2;3.87;-3.34;35.0;35.8;73.8;74.5;561;572;IDLE;IDLE;16428.0;8251.84;8176.21;1319.7;1368.4;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.35;-3.95;0.47;-0.11;-1233.00;-0.33;5.48
XX/06/21;05:14:05;DESCENT;AIR;AIR;AIR;4465;4483.00;1013.0;4227;2054;27.00;-31.570.435;-60.233.467;284;250;159;189.67;0.408;-1610;1.01;-0.01;-0.01;-24;-72.77;0;-2.5;52962;0;11.25;1.1;-0.0;3.87;-3.36;35.0;35.8;76.1;74.5;561;572;IDLE;IDLE;16428.7;8252.20;8176.59;1319.7;1368.4;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.30;-3.95;0.35;-0.17;616.50;-0.33;5.48
