DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;GPWS;GPWSM;TCAS
XX/03/19;07:21:17;APPROACH;AIR;AIR;AIR;4612;4612.00;1013.0;2556;2627;25.00;-22.920.772;-47.261.745;180;174;145;135.34;0.285;-1647;1.00;-0.00;-0.05;140;132.19;10;-0.4;43654;10;1.41;0.0;-0.0;5.28;0.00;73.8;74.3;532;570;-;-;2921.96;1460.54;1461.42;471.74;471.74;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:18;APPROACH;AIR;AIR;AIR;4588;4588.00;1013.0;2532;2627;25.00;-22.921.310;-47.260.963;180;173;145;135.34;0.284;-1618;0.96;-0.00;-0.05;140;132.19;10;-0.6;43654;10;0.00;0.0;-0.0;5.45;0.00;73.8;74.3;532;570;-;-;2922.23;1460.68;1461.55;475.37;471.74;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:19;APPROACH;AIR;AIR;AIR;4560;4560.00;1013.0;2504;2627;25.00;-22.921.850;-47.260.288;179;174;145;135.34;0.285;-1599;1.08;0.01;-0.05;140;134.65;10;-1.0;43654;10;-1.41;0.4;0.2;5.28;0.00;73.8;74.3;532;571;-;-;2922.49;1460.81;1461.68;475.37;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:20;APPROACH;AIR;AIR;AIR;4540;4540.00;1013.0;2484;2627;25.25;-22.922.508;-47.259.617;179;174;145;135.34;0.285;-1547;1.06;0.01;-0.06;141;137.11;11;-1.2;43654;10;-1.76;0.2;-0.1;4.40;0.00;73.8;74.3;532;571;-;-;2922.75;1460.94;1461.81;475.37;471.74;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:22;APPROACH;AIR;AIR;AIR;4516;4516.00;1013.0;2460;2627;25.25;-22.922.744;-47.258.636;178;173;145;135.34;0.284;-1472;0.98;0.01;-0.08;140;138.52;11;-1.1;43654;10;-2.11;-0.7;-0.5;2.64;0.00;73.8;74.3;532;571;-;-;2923.02;1461.07;1461.94;475.37;471.74;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:23;FINAL APPROACH;AIR;AIR;AIR;4492;4492.00;1013.0;2436;2627;25.25;-22.922.979;-47.257.915;178;174;145;127.28;0.285;-1461;0.94;0.01;-0.09;140;138.87;12;-1.1;43654;15;-1.76;-1.1;-0.3;2.64;0.00;73.8;74.3;532;571;-;-;2923.28;1461.20;1462.07;475.37;471.74;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:24;FINAL APPROACH;AIR;AIR;AIR;4468;4468.00;1013.0;2412;2627;25.00;-22.923.515;-47.257.244;177;174;145;127.28;0.285;-1454;1.01;0.01;-0.08;140;137.81;12;-0.8;43654;15;-0.70;-0.7;0.1;3.17;0.00;73.8;74.3;532;570;-;-;2923.54;1461.34;1462.21;475.37;471.74;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:25;FINAL APPROACH;AIR;AIR;AIR;4448;4448.00;1013.0;2392;2627;25.00;-22.924.051;-47.256.569;177;173;145;127.28;0.283;-1410;1.01;0.00;-0.08;139;135.00;12;-0.3;43654;15;-0.35;-0.5;0.1;3.34;0.00;73.8;74.3;532;571;-;-;2923.81;1461.47;1462.34;475.37;475.37;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:26;FINAL APPROACH;AIR;AIR;AIR;4428;4428.00;1013.0;2372;2600;25.00;-22.924.587;-47.255.779;176;173;145;127.28;0.282;-1341;1.02;-0.00;-0.08;139;131.48;12;0.0;43654;15;-0.70;-0.5;0.0;3.34;0.00;73.8;74.3;532;570;-;-;2924.07;1461.60;1462.47;475.37;471.74;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:27;FINAL APPROACH;AIR;AIR;AIR;4404;4404.00;1013.0;2348;2592;24.75;-22.925.239;-47.254.990;175;173;145;127.28;0.282;-1334;1.00;-0.00;-0.08;139;127.97;13;0.2;43654;15;-0.35;-0.7;-0.1;3.17;0.00;73.8;74.3;532;570;-;-;2924.33;1461.73;1462.60;478.99;475.37;13960.;EXTENDED;0;WARNING;-;-
