DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;FD
XX/03/21;17:40:17;APPROACH;AIR;AIR;AIR;8008;8008.00;1013.0;4712;2629;21.00;-15.821.417;-48.151.688;243;218;163;156.40;0.380;-1813;1.05;0.00;0.01;143;79.80;10;1.8;54794;1;-1.05;3.3;0.1;7.39;0.00;32.9;31.9;73.8;74.4;482;533;7922.92;3929.14;3993.78;410.05;417.31;11200.;28;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;17:40:18;APPROACH;AIR;AIR;AIR;7984;7984.00;1013.0;4688;2629;21.00;-15.822.127;-48.150.852;243;219;163;156.40;0.381;-1690;1.06;-0.00;0.01;143;80.16;10;1.7;54794;1;-0.70;3.7;0.2;7.21;0.00;32.9;31.9;73.8;74.4;482;533;7923.15;3929.26;3993.89;410.05;417.31;11120.;28;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;17:40:19;APPROACH;AIR;AIR;AIR;7964;7964.00;1013.0;4668;2629;21.00;-15.822.742;-48.150.013;243;219;163;156.40;0.382;-1568;1.06;-0.01;0.01;143;82.27;11;1.6;54794;1;-0.70;3.9;0.2;7.39;0.00;32.9;31.9;73.8;74.4;481;532;7923.38;3929.37;3994.01;410.05;417.31;11120.;28;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;17:40:20;APPROACH;AIR;AIR;AIR;7944;7944.00;1013.0;4648;2629;21.00;-15.823.452;-48.148.941;242;219;163;156.40;0.381;-1446;1.06;-0.00;0.00;143;84.73;11;1.5;54794;1;-0.70;4.2;0.2;6.68;0.00;32.9;31.9;73.8;74.4;482;533;7923.61;3929.49;3994.13;413.68;420.93;11120.;28;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;17:40:21;APPROACH;AIR;AIR;AIR;7924;7924.00;1013.0;4628;2629;21.00;-15.824.161;-48.148.106;241;218;163;156.40;0.379;-1365;1.08;0.00;0.02;143;86.13;11;1.5;54794;1;-0.35;4.6;0.3;7.74;0.00;32.9;31.9;73.8;74.4;482;534;7923.84;3929.60;3994.24;413.68;420.93;11120.;28;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;17:40:22;APPROACH;AIR;AIR;AIR;7912;7912.00;1013.0;4616;2629;21.00;-15.824.869;-48.147.266;241;216;163;156.40;0.376;-1231;1.01;-0.00;-0.01;143;86.84;11;1.4;54794;1;-1.05;4.6;0.1;7.39;0.00;32.9;31.9;73.8;74.4;483;534;7924.08;3929.72;3994.36;413.68;420.93;11120.;28;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;17:40:23;APPROACH;AIR;AIR;AIR;7900;7900.00;1013.0;4604;2629;21.00;-15.825.485;-48.146.194;240;215;163;156.40;0.374;-1063;1.04;-0.01;-0.00;143;87.19;10;1.2;54794;1;-0.35;4.7;0.1;6.86;0.00;32.9;31.9;73.8;74.4;482;534;7924.31;3929.83;3994.48;413.68;420.93;11120.;28;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;17:40:24;APPROACH;AIR;AIR;AIR;7888;7888.00;1013.0;4592;2629;21.00;-15.826.194;-48.145.359;239;215;163;156.40;0.375;-950;1.06;-0.01;0.01;143;88.24;10;1.2;54794;1;0.35;4.7;0.0;7.56;0.00;32.8;31.9;73.8;74.4;482;535;7924.54;3929.95;3994.59;413.68;420.93;11120.;28;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;17:40:25;APPROACH;AIR;AIR;AIR;7880;7880.00;1013.0;4584;2629;21.00;-15.826.902;-48.144.524;238;213;163;156.40;0.370;-834;1.05;-0.01;0.00;143;91.05;9;0.9;54794;1;-1.41;4.6;-0.1;6.68;0.00;32.8;31.9;73.8;74.4;483;535;7924.77;3930.06;3994.71;413.68;420.93;11120.;28;AP ENGAGED;AT ENGAGED;FD1 ON
XX/03/21;17:40:26;APPROACH;AIR;AIR;AIR;7868;7868.00;1013.0;4572;2629;21.00;-15.827.610;-48.143.459;237;214;163;162.92;0.373;-757;0.98;0.01;-0.00;143;94.57;9;0.4;54794;2;-2.11;4.6;-0.0;5.10;0.00;32.9;31.9;73.8;74.4;484;535;7925.00;3930.18;3994.83;413.68;420.93;11120.;28;AP ENGAGED;AT ENGAGED;FD1 ON
