DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;GPWS;GPWSM;TCAS
XX/04/19;05:13:26;APPROACH;AIR;AIR;AIR;4628;4628.00;1013.0;4356;2626;23.50;-30.444.193;-60.250.526;187;181;149;139.38;0.297;-1604;1.14;-0.01;0.00;43;59.06;12;-2.1;46085;10;29.18;1.1;0.0;6.86;0.00;73.3;74.1;527;561;-;-;8635.57;4285.67;4349.90;475.37;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:27;APPROACH;AIR;AIR;AIR;4600;4600.00;1013.0;4328;2626;23.75;-30.436.745;-60.250.374;186;181;149;139.38;0.297;-1629;1.16;-0.01;0.00;46;60.47;13;-2.1;46085;10;29.53;1.1;0.0;6.86;0.00;73.3;74.1;527;562;-;-;8635.84;4285.80;4350.03;475.37;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:28;APPROACH;AIR;AIR;AIR;4576;4576.00;1013.0;4304;2626;23.75;-30.430.017;-60.250.198;186;181;149;139.38;0.297;-1606;1.15;-0.00;0.00;49;61.88;13;-2.0;46085;10;29.53;1.2;0.1;6.86;0.00;73.3;74.1;527;562;-;-;8636.10;4285.94;4350.17;471.74;475.37;12920.;;0;WARNING;-;-
XX/04/19;05:13:29;APPROACH;AIR;AIR;AIR;4552;4552.00;1013.0;4280;2626;23.75;-30.423.481;-60.249.550;185;181;149;139.38;0.296;-1551;1.15;-0.01;0.00;52;62.23;13;-1.8;46085;10;29.53;1.2;0.0;6.86;0.00;73.3;74.1;527;562;-;-;8636.37;4286.07;4350.30;471.74;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:30;APPROACH;AIR;AIR;AIR;4528;4528.00;1013.0;4256;2626;24.00;-30.417.161;-60.249.001;184;181;149;139.38;0.296;-1515;1.14;-0.01;-0.00;56;62.58;13;-1.5;46085;10;29.53;1.2;0.0;6.68;0.00;73.3;74.1;527;562;-;-;8636.63;4286.20;4350.43;471.74;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:31;APPROACH;AIR;AIR;AIR;4508;4508.00;1013.0;4236;2626;24.00;-30.410.237;-60.248.436;184;181;149;139.38;0.297;-1450;1.12;-0.01;-0.01;58;62.93;13;-1.3;46085;10;29.53;1.2;0.0;6.86;0.00;73.3;74.1;528;562;-;-;8636.89;4286.33;4350.56;478.99;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:32;APPROACH;AIR;AIR;AIR;4480;4480.00;1013.0;4208;2626;24.00;-30.403.681;-60.247.860;183;181;149;139.38;0.296;-1447;1.13;-0.01;-0.02;62;62.58;14;-1.1;46085;10;29.53;1.2;0.0;6.68;0.00;73.3;74.1;528;562;-;-;8637.16;4286.46;4350.70;478.99;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:33;APPROACH;AIR;AIR;AIR;4452;4452.00;1013.0;4180;2626;24.00;-30.397.344;-60.247.269;183;180;149;139.38;0.295;-1524;1.13;-0.01;-0.03;64;62.23;14;-0.8;46085;10;29.18;1.2;0.0;6.86;0.00;73.3;74.1;528;563;-;-;8637.43;4286.60;4350.83;478.99;482.62;12920.;;0;WARNING;-;-
XX/04/19;05:13:34;APPROACH;AIR;AIR;AIR;4424;4424.00;1013.0;4152;2626;24.00;-30.391.231;-60.246.696;182;180;149;139.38;0.294;-1575;1.08;-0.01;-0.03;67;61.52;14;-0.4;46085;10;29.18;0.9;-0.2;6.51;0.00;73.3;74.1;529;563;-;-;8637.69;4286.73;4350.97;478.99;482.62;12920.;;0;WARNING;-;-
XX/04/19;05:13:35;APPROACH;AIR;AIR;AIR;4400;4400.00;1013.0;4128;2626;24.25;-30.386.875;-60.245.998;181;179;149;139.38;0.293;-1570;1.08;-0.01;-0.03;70;60.82;14;-0.2;46085;10;29.18;0.5;-0.3;6.51;0.00;73.3;74.1;528;563;-;-;8637.96;4286.86;4351.10;478.99;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:36;APPROACH;AIR;AIR;AIR;4372;4372.00;1013.0;4100;2626;24.25;-30.383.558;-60.245.293;181;179;149;139.38;0.293;-1567;1.11;-0.01;-0.03;73;60.47;14;0.0;46085;10;29.18;0.7;0.1;6.86;0.00;73.3;74.0;529;563;-;-;8638.22;4286.99;4351.23;478.99;478.99;12920.;;0;WARNING;-;-
XX/04/19;05:13:37;APPROACH;AIR;AIR;AIR;4340;4340.00;1013.0;4068;2626;24.25;-30.380.471;-60.244.579;180;179;149;139.38;0.292;-1644;1.13;-0.01;-0.03;76;60.47;14;0.2;46085;10;29.18;0.5;-0.1;6.86;0.00;73.3;74.1;529;564;-;-;8638.49;4287.13;4351.37;482.62;482.62;12920.;;0;WARNING;-;-
XX/04/19;05:13:38;APPROACH;AIR;AIR;AIR;4312;4312.00;1013.0;4040;2626;24.25;-30.377.626;-60.243.912;179;179;149;139.38;0.292;-1695;1.17;-0.01;-0.03;79;60.47;14;0.4;46085;10;29.18;0.5;-0.0;6.68;0.00;73.3;74.1;530;564;-;-;8638.76;4287.26;4351.50;482.62;486.25;12920.;;0;WARNING;-;-
XX/04/19;05:13:39;FINAL APPROACH;AIR;AIR;AIR;4288;4288.00;1013.0;4016;2626;24.25;-30.375.013;-60.243.210;179;178;149;131.77;0.291;-1651;1.22;-0.01;-0.04;82;60.47;14;0.7;46085;15;29.18;0.7;0.1;6.33;0.00;73.3;74.1;529;564;-;-;8639.03;4287.40;4351.63;478.99;482.62;12920.;;0;WARNING;-;-
XX/04/19;05:13:40;FINAL APPROACH;AIR;AIR;AIR;4264;4264.00;1013.0;3992;2626;24.25;-30.374.172;-60.242.504;178;178;149;131.77;0.290;-1581;1.22;-0.01;-0.05;86;60.47;15;0.9;46085;15;29.18;0.9;0.1;5.80;0.00;73.3;74.1;529;565;-;-;8639.30;4287.53;4351.77;478.99;486.25;12920.;;0;WARNING;-;-
