DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;GPWS;GPWSM;TCAS
XX/04/19;19:26:14;APPROACH;AIR;AIR;AIR;5008;5008.00;1013.0;2848;2627;25.25;-22.910.289;-47.271.423;191;173;141;139.42;0.286;-1177;1.01;0.01;0.01;157;245.74;2;-0.3;41622;5;-14.77;1.6;-0.1;5.45;0.00;82.0;80.5;578;582;-;-;5133.30;2560.43;2572.87;747.52;656.80;13600.;;0;WARNING;-;-
XX/04/19;19:26:15;APPROACH;AIR;AIR;AIR;4984;4984.00;1013.0;2824;2627;25.50;-22.910.982;-47.270.782;191;173;141;139.42;0.286;-1224;0.95;0.01;0.01;156;243.63;2;-0.4;41622;5;-13.71;1.2;-0.2;5.10;0.00;82.8;80.0;559;561;-;-;5133.67;2560.63;2573.03;747.52;580.60;13600.;;0;WARNING;-;-
XX/04/19;19:26:16;APPROACH;AIR;AIR;AIR;4964;4964.00;1013.0;2804;2627;25.50;-22.911.615;-47.270.126;192;174;141;139.42;0.287;-1256;1.01;0.00;0.00;155;247.50;2;-0.4;41622;5;-11.95;1.4;0.1;5.63;0.00;81.0;77.9;529;540;-;-;5133.98;2560.81;2573.17;642.29;493.51;13600.;;0;WARNING;-;-
XX/04/19;19:26:17;APPROACH;AIR;AIR;AIR;4940;4940.00;1013.0;2780;2627;25.50;-22.912.315;-47.269.638;192;175;141;139.42;0.288;-1277;1.02;0.00;-0.00;154;246.09;2;-0.5;41622;5;-11.60;1.4;0.0;5.45;0.00;78.9;76.0;512;531;-;-;5134.25;2560.96;2573.29;537.05;431.82;13600.;;0;WARNING;-;-
XX/04/19;19:26:18;APPROACH;AIR;AIR;AIR;4916;4916.00;1013.0;2756;2627;25.75;-22.913.011;-47.268.982;192;174;141;139.42;0.287;-1331;1.00;0.01;-0.00;153;238.71;2;-0.9;41622;5;-10.90;1.1;-0.2;5.28;0.00;77.6;75.5;513;547;-;-;5134.52;2561.10;2573.42;500.77;464.48;13600.;;0;WARNING;-;-
XX/04/19;19:26:19;APPROACH;AIR;AIR;AIR;4892;4892.00;1013.0;2732;2627;25.75;-22.913.703;-47.268.318;193;175;141;139.42;0.288;-1367;0.98;0.01;-0.01;153;236.95;3;-1.1;41622;5;-10.20;0.9;-0.1;5.10;0.00;77.3;75.8;524;558;-;-;5134.79;2561.24;2573.55;508.02;475.37;13600.;;0;WARNING;-;-
XX/04/19;19:26:20;APPROACH;AIR;AIR;AIR;4868;4868.00;1013.0;2708;2627;25.75;-22.914.348;-47.267.643;193;176;141;139.42;0.290;-1391;1.01;-0.00;-0.01;152;234.49;3;-1.1;41622;5;-9.14;0.7;-0.1;5.28;0.00;77.1;75.5;531;561;-;-;5135.07;2561.38;2573.68;508.02;475.37;13600.;;0;WARNING;-;-
XX/04/19;19:26:21;APPROACH;AIR;AIR;AIR;4840;4840.00;1013.0;2680;2627;26.00;-22.915.046;-47.266.655;194;176;141;139.42;0.290;-1447;0.98;-0.00;-0.01;151;230.27;3;-1.1;41622;5;-8.79;0.5;-0.1;4.92;0.00;77.0;75.1;533;557;-;-;5135.33;2561.52;2573.81;508.02;442.71;13600.;;0;WARNING;-;-
XX/04/19;19:26:22;APPROACH;AIR;AIR;AIR;4816;4816.00;1013.0;2656;2627;26.00;-22.915.741;-47.266.045;194;176;141;139.42;0.289;-1484;0.95;0.01;-0.01;151;228.52;4;-1.4;41622;5;-7.73;0.4;-0.1;4.75;0.00;75.6;74.3;518;555;-;-;5135.58;2561.65;2573.93;446.34;435.45;13600.;;0;WARNING;-;-
XX/04/19;19:26:23;APPROACH;AIR;AIR;AIR;4792;4792.00;1013.0;2632;2627;26.00;-22.916.435;-47.265.430;194;176;141;139.42;0.289;-1470;1.01;0.01;-0.01;150;229.57;4;-1.4;41622;5;-6.68;0.5;0.1;5.28;0.00;74.0;74.5;508;565;-;-;5135.82;2561.76;2574.06;402.79;468.11;13600.;;0;WARNING;-;-
