DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;ROLL_CPT;PITCH;PITCH_CPT;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD_PDL_FORCE;RUDD;PITCH_TRM;VHF_KEYING_L;VHF_KEYING_R;AP_OFF
XX/08/22;17:04:02;APPROACH;AIR;AIR;AIR;5011;5305.00;1013.0;3165;2053;14.00;-22.907.028;-47.268.154;186;182;157;147.87;0.302;-1128;1.01;0.00;0.00;151;-72.77;0;2.9;51202;10;-13.01;15.83;2.8;6.63;-0.4;5.63;0.01;34.1;34.3;74.0;73.3;568;580;IDLE;IDLE;7505.67;3775.86;3729.81;1331.9;1325.8;3937.2;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.79;-3.16;-2.39;-4.44;-1233.00;0.19;5.55;1;1;0
XX/08/22;17:04:03;APPROACH;AIR;AIR;AIR;4997;5290.00;1013.0;3151;2053;14.00;-22.907.638;-47.267.502;185;182;157;147.87;0.300;-1062;0.96;-0.00;-0.01;150;-180.0;0;2.9;51202;10;-10.20;10.09;2.6;6.55;-0.2;5.80;-0.04;34.1;34.4;74.6;73.3;568;581;IDLE;IDLE;7506.41;3776.23;3730.18;1331.9;1331.9;3937.2;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.59;-3.45;-0.99;-3.03;616.50;-0.20;5.55;1;1;0
XX/08/22;17:04:04;APPROACH;AIR;AIR;AIR;4980;5273.00;1013.0;3134;2053;14.00;-22.908.248;-47.266.834;185;181;157;147.87;0.298;-1019;0.97;-0.00;-0.01;149;-72.77;0;2.8;51202;10;-8.44;9.79;2.6;6.40;-0.0;6.33;-0.08;34.1;34.3;74.4;73.3;568;581;IDLE;IDLE;7507.15;3776.60;3730.55;1338.0;1338.0;3937.2;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.45;-3.60;-0.99;-2.97;-1233.00;0.32;5.55;1;1;0
XX/08/22;17:04:05;APPROACH;AIR;AIR;AIR;4961;5255.00;1013.0;3115;2053;14.00;-22.908.941;-47.266.129;184;181;157;147.87;0.300;-1039;0.97;-0.00;-0.01;148;0.00;0;2.5;51202;10;-7.03;11.26;2.6;6.45;-0.1;6.68;-0.11;34.1;34.4;74.0;73.3;568;582;IDLE;IDLE;7507.89;3776.97;3730.92;1338.0;1338.0;3937.2;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.45;-3.60;-1.34;-3.44;616.50;0.06;5.55;1;1;0
XX/08/22;17:04:06;APPROACH;AIR;AIR;AIR;4943;5237.00;1013.0;3097;2053;14.25;-22.909.475;-47.265.465;184;181;157;147.87;0.298;-1062;0.99;0.00;-0.00;148;-72.77;0;1.9;51202;10;-5.98;7.29;2.6;6.74;-0.0;6.50;-0.14;34.1;34.4;73.9;73.3;568;582;IDLE;IDLE;7508.64;3777.34;3731.30;1338.0;1344.1;3937.2;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.79;-3.16;-0.29;-2.27;-1233.00;0.44;5.55;1;1;0
XX/08/22;17:04:07;APPROACH;AIR;AIR;AIR;4927;5221.00;1013.0;3081;2053;14.25;-22.910.009;-47.264.755;184;181;157;147.87;0.298;-1048;0.97;0.01;-0.00;148;-180.0;0;1.3;51202;10;-4.57;5.82;2.5;6.80;-0.1;5.98;-0.15;34.1;34.3;73.8;73.3;568;581;IDLE;IDLE;7509.38;3777.71;3731.66;1331.9;1325.8;3937.2;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.89;-3.01;0.06;-2.04;-1233.00;0.70;5.55;1;1;0
XX/08/22;17:04:08;APPROACH;AIR;AIR;AIR;4908;5202.00;1013.0;3062;2053;14.25;-22.910.543;-47.264.091;184;181;157;147.87;0.298;-1049;0.96;0.01;-0.00;148;-72.77;0;1.1;51202;10;-3.52;1.91;2.6;6.72;0.1;6.86;-0.16;34.1;34.4;73.6;73.3;568;581;IDLE;IDLE;7510.12;3778.08;3732.04;1338.0;1350.2;3937.2;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.79;-3.16;1.23;-0.87;1232.40;0.70;5.55;1;1;0
XX/08/22;17:04:09;APPROACH;AIR;AIR;AIR;4890;5184.00;1013.0;3044;2053;14.25;-22.911.077;-47.263.382;184;181;157;147.87;0.298;-1069;1.02;0.01;0.00;148;0.00;0;1.0;51202;10;-2.11;1.10;3.0;6.76;0.2;6.50;-0.17;34.1;34.3;73.4;73.3;568;582;IDLE;IDLE;7510.86;3778.46;3732.41;1338.0;1331.9;3937.2;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.89;-3.06;1.64;-0.52;1232.40;0.76;5.55;1;1;0
XX/08/22;17:04:10;APPROACH;AIR;AIR;AIR;4873;5166.00;1013.0;3027;2053;14.25;-22.911.611;-47.262.718;183;182;157;147.87;0.300;-1063;0.99;0.01;-0.00;148;-72.77;0;0.9;51202;10;-1.41;-5.12;3.0;6.82;0.0;6.33;-0.18;34.1;34.3;73.1;73.3;568;582;IDLE;IDLE;7511.61;3778.83;3732.78;1338.0;1344.1;3937.2;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.94;-2.96;3.39;1.34;-1233.00;0.70;5.55;1;1;0
XX/08/22;17:04:11;APPROACH;AIR;AIR;AIR;4855;5149.00;1013.0;3009;2053;14.25;-22.912.145;-47.262.009;183;181;157;147.87;0.298;-1059;0.99;0.01;0.00;148;-180.0;0;0.8;51202;10;-1.41;-4.97;3.2;6.76;0.1;6.68;-0.18;34.1;34.3;73.0;73.3;568;582;IDLE;IDLE;7512.35;3779.20;3733.15;1338.0;1338.0;3937.2;51;AP ENGAGED;AT ENGAGED;0;0;-;-4.84;-3.11;3.39;1.34;-1233.00;0.70;5.55;1;1;0
