DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
09/2022,16:09:45,AIR,AIR,APPROACH,2980,5020,5020.0,22.25,170,184,163.24,0.281,57,339.96,6,-23.134407,-47.038662,-47.057430000000004,-23.119391,0.0,0.0,11.0,8.9,4.5,13.4,1103.3,5758.70664,21.9,1.0239,1.1057,155.2,1.3,10.9,3.5,14.4,11.5,17.3,0,0,ON PATH,blue
09/2022,16:09:46,AIR,AIR,APPROACH,2960,5000,5000.0,22.25,172,184,163.24,0.284,57,341.02,6,-23.133743,-47.037964,-47.056732000000004,-23.118727,0.06,0.1,10.9,8.9,4.5,13.4,1093.3,5725.898639999999,21.9,1.0239,1.1057,155.2,1.5,10.8,3.5,14.3,11.4,17.2,0,0,ON PATH,blue
09/2022,16:09:47,AIR,AIR,APPROACH,2944,4984,4984.0,22.25,171,183,163.24,0.282,57,345.23,6,-23.133079,-47.03727,-47.056038,-23.118063,0.06,0.1,10.9,8.8,4.4,13.2,1093.3,5725.898639999999,21.9,1.0239,1.1057,155.2,1.9,10.8,3.5,14.3,11.4,17.2,0,0,ON PATH,blue
09/2022,16:09:48,AIR,AIR,APPROACH,2928,4968,4968.0,22.25,173,183,163.24,0.285,57,348.75,6,-23.132623,-47.036575,-47.055343,-23.117607,0.05,0.2,10.8,8.8,4.4,13.2,1083.2,5692.76256,21.9,1.0239,1.1057,155.2,2.2,10.7,3.5,14.2,11.4,17.0,0,0,ON PATH,blue
09/2022,16:09:49,AIR,AIR,APPROACH,2916,4956,4956.0,22.5,172,183,163.24,0.284,57,354.38,7,-23.131963,-47.035881,-47.054649000000005,-23.116947,0.06,0.2,10.8,8.7,4.4,13.1,1083.2,5692.76256,22.1,1.0246,1.109,155.0,3.2,10.7,3.5,14.2,11.4,17.0,0,0,ON PATH,blue
09/2022,16:09:50,AIR,AIR,APPROACH,2900,4940,4940.0,22.5,171,182,163.24,0.283,57,356.48,7,-23.1313,-47.035576,-47.054344,-23.116284,0.04,0.3,10.7,8.7,4.4,13.1,1073.2,5659.95456,22.1,1.0246,1.109,155.0,3.4,10.6,3.5,14.1,11.3,16.9,0,0,ON PATH,blue
09/2022,16:09:51,AIR,AIR,APPROACH,2884,4924,4924.0,22.5,170,181,163.21,0.281,57,355.78,8,-23.130638,-47.034966,-47.053734,-23.115622000000002,0.05,0.3,10.7,8.6,4.3,12.9,1073.2,5659.95456,22.2,1.025,1.1108,154.9,3.9,10.6,3.5,14.1,11.3,16.9,0,0,ON PATH,blue
09/2022,16:09:52,AIR,AIR,APPROACH,2876,4916,4916.0,22.5,171,181,163.21,0.282,56,354.02,8,-23.129978,-47.034359,-47.053127,-23.114962000000002,0.05,0.4,10.6,8.6,4.3,12.9,1063.2,5627.14656,22.1,1.0246,1.109,155.0,3.8,10.5,3.5,14.0,11.2,16.8,0,0,ON PATH,blue
09/2022,16:09:53,AIR,AIR,APPROACH,2864,4904,4904.0,22.5,169,180,154.11,0.278,57,354.73,8,-23.129367,-47.033752,-47.05252,-23.114351,0.05,0.4,10.6,8.6,4.3,12.9,1063.2,5627.14656,22.2,1.025,1.1108,146.2,3.7,10.5,3.2,13.7,11.0,16.4,0,0,ON PATH,blue
09/2022,16:09:54,AIR,AIR,APPROACH,2852,4892,4892.0,22.5,168,179,154.11,0.277,57,354.73,8,-23.128757,-47.03315,-47.051918,-23.113741,0.05,0.5,10.5,8.5,4.2,12.7,1053.2,5594.33856,22.2,1.025,1.1108,146.2,3.7,10.4,3.2,13.6,10.9,16.3,0,0,ON PATH,blue
