DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
09/2022,02:58:11,AIR,AIR,APPROACH,3092,5020,5020.0,16.5,180,200,152.92,0.297,-127,107.58,13,-22.85498,-47.256149,-47.261104,-22.848553000000003,0.0,0.0,13.6,9.2,5.3,14.5,1364.1,6614.33928,16.2,1.0042,1.018,151.6,-7.5,13.5,2.9,16.4,13.1,19.7,0,0,ON PATH,blue
09/2022,02:58:12,AIR,AIR,APPROACH,3072,5000,5000.0,16.5,179,200,152.92,0.295,-127,106.88,14,-22.855712,-47.25676,-47.261715,-22.849285000000002,0.06,0.1,13.5,9.2,5.3,14.5,1354.1,6581.53128,16.2,1.0042,1.018,151.6,-8.3,13.4,2.9,16.3,13.0,19.6,0,0,ON PATH,blue
09/2022,02:58:13,AIR,AIR,APPROACH,3052,4980,4980.0,16.5,178,200,152.92,0.294,-127,105.47,14,-22.856508,-47.257313,-47.262268000000006,-22.850081000000003,0.06,0.1,13.5,9.1,5.3,14.4,1354.1,6581.53128,16.2,1.0042,1.018,151.6,-8.5,13.4,2.9,16.3,13.0,19.6,0,0,ON PATH,blue
09/2022,02:58:14,AIR,AIR,APPROACH,3032,4960,4960.0,16.25,179,200,152.92,0.295,-127,104.77,15,-22.857179,-47.258015,-47.26297,-22.850752,0.06,0.2,13.4,9.1,5.3,14.4,1344.0,6548.3952,16.0,1.0035,1.015,151.8,-9.3,13.3,2.9,16.2,13.0,19.4,0,0,ON PATH,blue
09/2022,02:58:15,AIR,AIR,APPROACH,3008,4936,4936.0,16.25,179,200,152.92,0.295,-127,104.06,15,-22.857852,-47.258713,-47.263668,-22.851425000000003,0.06,0.2,13.4,9.0,5.3,14.3,1344.0,6548.3952,16.0,1.0035,1.015,151.8,-9.4,13.3,2.9,16.2,13.0,19.4,0,0,ON PATH,blue
09/2022,02:58:16,AIR,AIR,APPROACH,2988,4916,4916.0,16.25,179,200,152.92,0.295,-127,104.06,16,-22.858528,-47.259415,-47.26437,-22.852101,0.06,0.3,13.3,8.9,5.3,14.2,1334.0,6515.5872,16.0,1.0035,1.015,151.8,-10.1,13.2,2.8,16.0,12.8,19.2,0,0,ON PATH,blue
09/2022,02:58:17,AIR,AIR,APPROACH,2964,4892,4892.0,16.25,179,200,152.92,0.295,-128,104.06,16,-22.85926,-47.25975,-47.264705,-22.852833,0.05,0.4,13.2,8.9,5.3,14.2,1324.0,6482.7792,16.0,1.0035,1.015,151.8,-9.8,13.1,2.9,16.0,12.8,19.2,0,0,ON PATH,blue
09/2022,02:58:18,AIR,AIR,APPROACH,2944,4872,4872.0,16.25,179,200,152.92,0.295,-128,104.06,17,-22.859931,-47.260452,-47.265407,-22.853504,0.06,0.4,13.2,8.8,5.3,14.1,1324.0,6482.7792,16.0,1.0035,1.015,151.8,-10.5,13.1,2.8,15.9,12.7,19.1,0,0,ON PATH,blue
09/2022,02:58:19,AIR,AIR,APPROACH,2920,4848,4848.0,16.25,179,200,152.92,0.295,-128,104.06,17,-22.860605,-47.26115,-47.266105,-22.854178,0.06,0.5,13.1,8.7,5.3,14.0,1313.9,6449.643120000001,16.0,1.0035,1.015,151.8,-10.5,13.0,2.8,15.8,12.6,19.0,0,0,ON PATH,blue
09/2022,02:58:20,AIR,AIR,APPROACH,2900,4828,4828.0,16.25,179,200,152.92,0.294,-128,104.06,17,-22.861585,-47.261848,-47.266803,-22.855158000000003,0.07,0.5,13.1,8.7,5.3,14.0,1313.9,6449.643120000001,16.0,1.0035,1.015,151.8,-10.5,13.0,2.8,15.8,12.6,19.0,0,0,ON PATH,blue
09/2022,02:58:21,AIR,AIR,APPROACH,2880,4808,4808.0,16.25,180,200,152.92,0.297,-128,104.06,18,-22.862314,-47.262543,-47.267498,-22.855887000000003,0.06,0.6,13.0,8.6,5.3,13.9,1303.9,6416.835120000001,16.0,1.0035,1.015,151.8,-11.1,12.9,2.8,15.7,12.6,18.8,0,0,ON PATH,blue
09/2022,02:58:22,AIR,AIR,APPROACH,2856,4784,4784.0,16.25,181,200,152.92,0.297,-128,105.12,18,-22.862989,-47.263153,-47.268108000000005,-22.856562,0.05,0.7,12.9,8.5,5.3,13.8,1293.9,6384.027120000001,16.0,1.0035,1.015,151.8,-10.8,12.8,2.8,15.6,12.5,18.7,0,0,ON PATH,blue
09/2022,02:58:23,AIR,AIR,APPROACH,2836,4764,4764.0,16.25,181,200,152.92,0.297,-128,106.52,18,-22.863664,-47.26376,-47.268715,-22.857237,0.05,0.7,12.9,8.5,5.3,13.8,1293.9,6384.027120000001,16.0,1.0035,1.015,151.8,-10.4,12.8,2.8,15.6,12.5,18.7,0,0,ON PATH,blue
09/2022,02:58:24,AIR,AIR,APPROACH,2816,4744,4744.0,16.25,181,200,152.92,0.297,-129,107.58,19,-22.864454,-47.26437,-47.269325,-22.858027,0.06,0.8,12.8,8.4,5.3,13.7,1283.8,6350.89104,16.0,1.0035,1.015,151.8,-10.5,12.7,2.8,15.5,12.4,18.6,0,0,ON PATH,blue
