DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
04/2022,14:31:24,AIR,AIR,APPROACH,2996,5000,5000.0,23.75,187,210,153.6,0.309,-176,27.77,4,-22.876714,-47.296585,-47.299701999999996,-22.872108,0.0,0.0,12.0,9.0,5.8,14.8,1203.6,6087.77088,23.3,1.0288,1.1284,144.6,-3.7,11.9,2.8,14.7,11.8,17.6,0,0,ON PATH,blue
04/2022,14:31:25,AIR,AIR,APPROACH,2976,4980,4980.0,23.75,188,210,153.6,0.31,-176,32.7,5,-22.877845,-47.29623,-47.299347,-22.873239,0.07,0.1,11.9,8.9,5.8,14.7,1193.6,6054.96288,23.3,1.0288,1.1284,144.6,-4.4,11.8,2.8,14.6,11.7,17.5,0,0,ON PATH,blue
04/2022,14:31:26,AIR,AIR,APPROACH,2964,4968,4968.0,23.75,188,209,153.6,0.311,-176,37.62,5,-22.878652,-47.296272,-47.299389,-22.874046,0.05,0.1,11.9,8.9,5.8,14.7,1193.6,6054.96288,23.3,1.0288,1.1284,144.6,-4.2,11.8,2.8,14.6,11.7,17.5,0,0,ON PATH,blue
04/2022,14:31:27,AIR,AIR,APPROACH,2944,4948,4948.0,24.0,186,209,153.6,0.307,-176,39.73,6,-22.879459,-47.296314,-47.299431,-22.874853,0.05,0.2,11.8,8.8,5.8,14.6,1183.5,6021.826800000001,23.6,1.0298,1.1331,144.3,-4.9,11.7,2.8,14.5,11.6,17.4,0,0,ON PATH,blue
04/2022,14:31:28,AIR,AIR,APPROACH,2924,4928,4928.0,24.0,186,208,153.6,0.306,-175,34.8,6,-22.880588,-47.296055,-47.299172,-22.875982,0.07,0.2,11.8,8.7,5.7,14.4,1183.5,6021.826800000001,23.6,1.0298,1.1331,144.3,-5.2,11.7,2.7,14.4,11.5,17.3,0,0,ON PATH,blue
04/2022,14:31:29,AIR,AIR,APPROACH,2904,4908,4908.0,24.0,185,208,153.6,0.305,-175,28.13,6,-22.881397,-47.295792,-47.298908999999995,-22.876791,0.05,0.3,11.7,8.7,5.7,14.4,1173.5,5989.0188,23.6,1.0298,1.1331,144.3,-5.5,11.6,2.7,14.3,11.4,17.2,0,0,ON PATH,blue
04/2022,14:31:30,AIR,AIR,APPROACH,2884,4888,4888.0,24.0,184,208,153.6,0.304,-175,21.09,6,-22.882202,-47.295532,-47.298649,-22.877596,0.05,0.3,11.7,8.6,5.7,14.3,1173.5,5989.0188,23.6,1.0298,1.1331,144.3,-5.8,11.6,2.7,14.3,11.4,17.2,0,0,ON PATH,blue
04/2022,14:31:31,AIR,AIR,APPROACH,2860,4864,4864.0,24.0,185,208,153.6,0.304,-175,20.04,6,-22.883331,-47.295273,-47.29839,-22.878725,0.07,0.4,11.6,8.6,5.7,14.3,1163.5,5956.210800000001,23.6,1.0298,1.1331,144.3,-5.8,11.5,2.7,14.2,11.4,17.0,0,0,ON PATH,blue
04/2022,14:31:32,AIR,AIR,APPROACH,2840,4844,4844.0,24.0,186,208,153.6,0.306,-175,19.34,6,-22.88414,-47.294914,-47.298030999999995,-22.879534,0.05,0.5,11.5,8.5,5.7,14.2,1153.5,5923.4028,23.6,1.0298,1.1331,144.3,-5.8,11.4,2.7,14.1,11.3,16.9,0,0,ON PATH,blue
04/2022,14:31:33,AIR,AIR,APPROACH,2820,4824,4824.0,24.0,184,208,153.6,0.303,-175,17.93,6,-22.884948,-47.294563,-47.29767999999999,-22.880342000000002,0.05,0.5,11.5,8.4,5.7,14.1,1153.5,5923.4028,23.6,1.0298,1.1331,144.3,-5.8,11.4,2.7,14.1,11.3,16.9,0,0,ON PATH,blue
04/2022,14:31:34,AIR,AIR,APPROACH,2800,4804,4804.0,24.0,184,207,153.6,0.302,-175,14.06,6,-22.886076,-47.294205,-47.297321999999994,-22.88147,0.07,0.6,11.4,8.4,5.7,14.1,1143.4,5890.2667200000005,23.6,1.0298,1.1331,144.3,-5.9,11.3,2.7,14.0,11.2,16.8,0,0,ON PATH,blue
04/2022,14:31:35,AIR,AIR,APPROACH,2780,4784,4784.0,24.0,184,207,153.6,0.302,-176,10.9,6,-22.886884,-47.293842,-47.296958999999994,-22.882278,0.05,0.6,11.4,8.3,5.7,14.0,1143.4,5890.2667200000005,23.6,1.0298,1.1331,144.3,-6.0,11.3,2.7,14.0,11.2,16.8,0,0,ON PATH,blue
04/2022,14:31:36,AIR,AIR,APPROACH,2760,4764,4764.0,24.0,182,207,153.6,0.3,-176,7.03,6,-22.887693,-47.293484,-47.296600999999995,-22.883087,0.05,0.7,11.3,8.3,5.7,14.0,1133.4,5857.4587200000005,23.6,1.0298,1.1331,144.3,-6.0,11.2,2.7,13.9,11.1,16.7,0,0,ON PATH,blue
04/2022,14:31:37,AIR,AIR,APPROACH,2744,4748,4748.0,24.0,183,207,153.6,0.301,-177,356.48,7,-22.88882,-47.293221,-47.296338,-22.884214,0.07,0.8,11.2,8.2,5.7,13.9,1123.4,5824.650720000001,23.6,1.0298,1.1331,144.3,-7.0,11.1,2.7,13.8,11.0,16.6,0,0,ON PATH,blue
04/2022,14:31:38,AIR,AIR,APPROACH,2720,4724,4724.0,24.25,183,207,153.6,0.3,-179,344.18,7,-22.889631,-47.29295,-47.296066999999994,-22.885025000000002,0.05,0.8,11.2,8.1,5.7,13.8,1123.4,5824.650720000001,23.8,1.0305,1.1364,144.1,-6.7,11.1,2.7,13.8,11.0,16.6,0,0,ON PATH,blue
04/2022,14:31:39,AIR,AIR,APPROACH,2700,4704,4704.0,24.5,186,207,153.6,0.305,180,332.23,7,-22.89044,-47.292667,-47.295784,-22.885834000000003,0.05,0.9,11.1,8.1,5.7,13.8,1113.3,5791.514639999999,24.1,1.0316,1.1416,143.8,-6.2,11.0,2.7,13.7,11.0,16.4,0,0,ON PATH,blue
04/2022,14:31:40,AIR,AIR,APPROACH,2676,4680,4680.0,24.75,186,207,153.6,0.305,177,322.03,6,-22.891567,-47.292374,-47.295491,-22.886961,0.07,0.9,11.1,8.0,5.7,13.7,1113.3,5791.514639999999,24.3,1.0323,1.1449,143.6,-4.9,11.0,2.7,13.7,11.0,16.4,0,0,ON PATH,blue
04/2022,14:31:41,AIR,AIR,APPROACH,2656,4660,4660.0,24.5,187,206,153.6,0.307,173,321.68,5,-22.892377,-47.29203,-47.29514699999999,-22.887771,0.05,1.0,11.0,7.9,5.6,13.5,1103.3,5758.70664,24.0,1.0312,1.1397,143.9,-4.3,10.9,2.8,13.7,11.0,16.4,0,0,ON PATH,blue
04/2022,14:31:42,AIR,AIR,APPROACH,2640,4644,4644.0,24.5,188,206,153.6,0.308,169,335.39,4,-22.893184,-47.291359,-47.294475999999996,-22.888578000000003,0.06,1.0,11.0,7.9,5.6,13.5,1103.3,5758.70664,24.0,1.0312,1.1397,143.9,-3.9,10.9,2.8,13.7,11.0,16.4,0,0,ON PATH,blue
04/2022,14:31:43,AIR,AIR,APPROACH,2620,4624,4624.0,24.5,187,205,153.6,0.307,166,1.41,4,-22.894002,-47.290657,-47.293774,-22.889396,0.06,1.1,10.9,7.8,5.6,13.4,1093.3,5725.898639999999,24.0,1.0312,1.1397,143.9,-3.9,10.8,2.8,13.6,10.9,16.3,0,0,ON PATH,blue
