DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
05/2022,16:10:09,AIR,AIR,APPROACH,2964,5008,5008.0,19.25,197,217,133.97,0.325,-122,13.71,4,-22.847133,-47.250183,-47.253333999999995,-22.842594,0.0,0.0,14.3,8.9,6.2,15.1,1434.3,6844.65144,18.9,1.0135,1.0587,130.2,-2.9,14.1,2.3,16.4,13.1,19.7,0,0,ON PATH,blue
05/2022,16:10:10,AIR,AIR,APPROACH,2940,4984,4984.0,19.5,198,217,133.97,0.327,-122,20.74,4,-22.847938,-47.25079,-47.253941,-22.843398999999998,0.06,0.1,14.2,8.8,6.2,15.0,1424.3,6811.84344,19.1,1.0142,1.0618,130.0,-3.2,14.0,2.3,16.3,13.0,19.6,0,0,ON PATH,blue
05/2022,16:10:11,AIR,AIR,APPROACH,2920,4964,4964.0,19.5,200,217,133.97,0.33,-122,22.15,3,-22.848747,-47.251396,-47.254546999999995,-22.844208,0.06,0.1,14.2,8.7,6.2,14.9,1424.3,6811.84344,19.1,1.0142,1.0618,130.0,-2.4,14.0,2.3,16.3,13.0,19.6,0,0,ON PATH,blue
05/2022,16:10:12,AIR,AIR,APPROACH,2900,4944,4944.0,20.0,200,217,133.91,0.33,-122,21.09,2,-22.849477,-47.251896,-47.255047,-22.844938,0.05,0.2,14.1,8.7,6.2,14.9,1414.2,6778.70736,19.6,1.016,1.0699,129.5,-1.6,13.9,2.3,16.2,13.0,19.4,0,0,ON PATH,blue
05/2022,16:10:13,AIR,AIR,APPROACH,2884,4928,4928.0,20.0,199,216,133.91,0.328,-123,24.96,1,-22.850513,-47.252609,-47.255759999999995,-22.845974,0.07,0.2,14.1,8.6,6.2,14.8,1414.2,6778.70736,19.6,1.016,1.0699,129.5,-0.8,13.9,2.4,16.3,13.0,19.6,0,0,ON PATH,blue
05/2022,16:10:14,AIR,AIR,APPROACH,2868,4912,4912.0,20.25,198,216,133.91,0.327,-123,27.42,1,-22.85131,-47.253319,-47.25646999999999,-22.846771,0.06,0.3,14.0,8.6,6.2,14.8,1404.2,6745.89936,19.8,1.0167,1.073,129.3,-0.9,13.8,2.4,16.2,13.0,19.4,0,0,ON PATH,blue
05/2022,16:10:15,AIR,AIR,APPROACH,2848,4892,4892.0,20.25,198,215,133.91,0.327,-123,33.4,1,-22.851982,-47.254028,-47.257178999999994,-22.847443,0.06,0.4,13.9,8.5,6.1,14.6,1394.2,6713.09136,19.8,1.0167,1.073,129.3,-0.9,13.7,2.4,16.1,12.9,19.3,0,0,ON PATH,blue
05/2022,16:10:16,AIR,AIR,APPROACH,2836,4880,4880.0,20.5,198,215,133.91,0.326,-123,0.0,0,-22.852653,-47.254639,-47.25778999999999,-22.848114,0.05,0.4,13.9,8.5,6.1,14.6,1394.2,6713.09136,20.1,1.0177,1.0775,129.0,-0.0,13.7,2.4,16.1,12.9,19.3,0,0,ON PATH,blue
05/2022,16:10:17,AIR,AIR,APPROACH,2820,4864,4864.0,20.5,197,215,133.91,0.324,-123,0.0,1,-22.853448,-47.255348,-47.25849899999999,-22.848909,0.06,0.5,13.8,8.4,6.1,14.5,1384.2,6680.28336,20.1,1.0177,1.0775,129.0,-0.5,13.6,2.4,16.0,12.8,19.2,0,0,ON PATH,blue
05/2022,16:10:18,AIR,AIR,APPROACH,2804,4848,4848.0,20.25,197,214,133.91,0.324,-123,337.5,1,-22.854246,-47.256058,-47.259209,-22.849707,0.06,0.5,13.8,8.4,6.1,14.5,1384.2,6680.28336,19.8,1.0167,1.073,129.3,-0.2,13.6,2.4,16.0,12.8,19.2,0,0,ON PATH,blue
05/2022,16:10:19,AIR,AIR,APPROACH,2792,4836,4836.0,20.25,196,214,133.91,0.322,-123,342.42,1,-22.854976,-47.256763,-47.259913999999995,-22.850437,0.06,0.6,13.7,8.3,6.1,14.4,1374.1,6647.14728,19.8,1.0167,1.073,129.3,-0.3,13.6,2.4,16.0,12.8,19.2,0,0,ON PATH,blue
05/2022,16:10:20,AIR,AIR,APPROACH,2772,4816,4816.0,20.25,194,213,133.91,0.32,-124,12.3,1,-22.856014,-47.257378,-47.260529,-22.851474999999997,0.07,0.7,13.6,8.3,6.0,14.3,1364.1,6614.33928,19.8,1.0167,1.073,129.3,-0.7,13.5,2.4,15.9,12.7,19.1,0,0,ON PATH,blue
