DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
05/2021,12:19:39,AIR,AIR,APPROACH,2988,5008,5008.0,23.75,196,226,154.23,0.323,141,335.39,14,-22.900636,-47.28651,-47.291263,-22.894168999999998,0.0,0.0,10.4,8.9,6.8,15.7,1043.1,5561.20248,23.3,1.0288,1.1284,145.2,-13.6,10.3,2.5,12.8,10.2,15.4,0,1,HIGH ENERGY,red
05/2021,12:19:40,AIR,AIR,APPROACH,2964,4984,4984.0,23.75,195,226,154.23,0.322,141,335.74,14,-22.901336,-47.285671,-47.290424,-22.894869,0.06,0.1,10.3,8.9,6.8,15.7,1033.1,5528.39448,23.3,1.0288,1.1284,145.2,-13.5,10.2,2.5,12.7,10.2,15.2,0,1,HIGH ENERGY,red
05/2021,12:19:41,AIR,AIR,APPROACH,2944,4964,4964.0,23.75,194,225,154.23,0.321,141,336.09,14,-22.902036,-47.284836,-47.289589,-22.895569,0.06,0.1,10.3,8.8,6.7,15.5,1033.1,5528.39448,23.3,1.0288,1.1284,145.2,-13.5,10.2,2.5,12.7,10.2,15.2,0,1,HIGH ENERGY,red
05/2021,12:19:42,AIR,AIR,APPROACH,2924,4944,4944.0,23.75,194,224,154.23,0.32,141,336.8,14,-22.902734,-47.283768,-47.288521,-22.896266999999998,0.07,0.2,10.2,8.7,6.6,15.3,1023.1,5495.58648,23.3,1.0288,1.1284,145.2,-13.5,10.1,2.5,12.6,10.1,15.1,0,1,HIGH ENERGY,red
05/2021,12:19:43,AIR,AIR,APPROACH,2904,4924,4924.0,23.75,193,224,154.23,0.318,141,337.15,15,-22.90307,-47.282932,-47.287685,-22.896603,0.05,0.2,10.2,8.7,6.6,15.3,1023.1,5495.58648,23.3,1.0288,1.1284,145.2,-14.4,10.1,2.4,12.5,10.0,15.0,0,1,HIGH ENERGY,red
05/2021,12:19:44,AIR,AIR,APPROACH,2884,4904,4904.0,23.75,192,223,154.23,0.317,141,338.2,15,-22.90377,-47.282097,-47.28685,-22.897303,0.06,0.3,10.1,8.6,6.6,15.2,1013.0,5462.4504,23.3,1.0288,1.1284,145.2,-14.3,10.0,2.4,12.4,9.9,14.9,0,1,HIGH ENERGY,red
05/2021,12:19:45,AIR,AIR,APPROACH,2868,4888,4888.0,23.75,191,222,154.23,0.315,141,339.61,15,-22.90447,-47.281025,-47.285778,-22.898003,0.07,0.4,10.0,8.6,6.5,15.1,1003.0,5429.642400000001,23.3,1.0288,1.1284,145.2,-14.2,9.9,2.4,12.3,9.8,14.8,0,1,HIGH ENERGY,red
05/2021,12:19:46,AIR,AIR,APPROACH,2848,4868,4868.0,24.0,191,221,154.23,0.314,141,340.31,15,-22.905168,-47.280186,-47.284939,-22.898701,0.06,0.4,10.0,8.5,6.5,15.0,1003.0,5429.642400000001,23.5,1.0295,1.1317,145.0,-14.2,9.9,2.4,12.3,9.8,14.8,0,1,HIGH ENERGY,red
05/2021,12:19:47,AIR,AIR,APPROACH,2832,4852,4852.0,24.0,190,220,154.23,0.313,141,340.31,15,-22.905862,-47.27935,-47.284103,-22.899395,0.06,0.5,9.9,8.5,6.4,14.9,993.0,5396.8344,23.5,1.0295,1.1317,145.0,-14.2,9.8,2.4,12.2,9.8,14.6,0,1,HIGH ENERGY,red
05/2021,12:19:48,AIR,AIR,APPROACH,2812,4832,4832.0,24.0,189,219,154.23,0.312,141,340.66,15,-22.906473,-47.278282,-47.283035,-22.900005999999998,0.07,0.6,9.8,8.4,6.3,14.7,982.9,5363.6983199999995,23.5,1.0295,1.1317,145.0,-14.1,9.7,2.4,12.1,9.7,14.5,0,1,HIGH ENERGY,red
