DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
08/2022,17:04:18,AIR,AIR,APPROACH,2836,5004,4971.0,24.75,209,235,147.66,0.344,47,-180.0,0,-23.136215,-47.025681,-47.051648,-23.116299,0.0,0.0,10.1,8.5,7.3,15.8,1013.0,5462.4504,24.2,1.0319,1.143,138.1,0,10.0,2.7,12.7,10.2,15.2,0,1,HIGH ENERGY,red
08/2022,17:04:19,AIR,AIR,APPROACH,2823,4991,4958.0,24.5,209,235,147.66,0.344,47,-72.77,0,-23.135299,-47.024952,-47.050919,-23.115383,0.07,0.1,10.0,8.4,7.3,15.7,1003.0,5429.642400000001,23.9,1.0309,1.1383,138.4,0,9.9,2.7,12.6,10.1,15.1,0,1,HIGH ENERGY,red
08/2022,17:04:20,AIR,AIR,APPROACH,2810,4978,4945.0,24.5,209,235,147.66,0.346,48,0.0,0,-23.134307,-47.024307,-47.050274,-23.114391,0.07,0.1,10.0,8.4,7.3,15.7,1003.0,5429.642400000001,23.9,1.0309,1.1383,138.4,0,9.9,2.7,12.6,10.1,15.1,0,1,HIGH ENERGY,red
08/2022,17:04:21,AIR,AIR,APPROACH,2793,4961,4928.0,24.5,212,235,147.66,0.35,48,-72.77,0,-23.133392,-47.023579,-47.049546,-23.113476000000002,0.07,0.2,9.9,8.4,7.3,15.7,993.0,5396.8344,23.9,1.0309,1.1383,138.4,0,9.8,2.7,12.5,10.0,15.0,0,1,HIGH ENERGY,red
08/2022,17:04:22,AIR,AIR,APPROACH,2775,4943,4911.0,24.75,215,235,147.66,0.354,48,-180.0,0,-23.132476,-47.023087,-47.049054,-23.112560000000002,0.06,0.3,9.8,8.3,7.3,15.6,982.9,5363.6983199999995,24.1,1.0316,1.1416,138.2,0,9.7,2.7,12.4,9.9,14.9,0,1,HIGH ENERGY,red
08/2022,17:04:23,AIR,AIR,APPROACH,2760,4928,4895.0,25.0,215,236,147.66,0.354,49,-72.77,0,-23.131485,-47.022354,-47.048321,-23.111569000000003,0.07,0.3,9.8,8.3,7.4,15.7,982.9,5363.6983199999995,24.4,1.0326,1.1463,137.9,0,9.7,2.7,12.4,9.9,14.9,0,1,HIGH ENERGY,red
08/2022,17:04:24,AIR,AIR,APPROACH,2747,4915,4882.0,25.5,216,236,147.66,0.354,49,0.0,0,-23.130569,-47.021866,-47.047833000000004,-23.110653000000003,0.06,0.4,9.7,8.2,7.4,15.6,972.9,5330.89032,24.9,1.0344,1.1548,137.4,0,9.6,2.7,12.3,9.8,14.8,0,1,HIGH ENERGY,red
08/2022,17:04:25,AIR,AIR,APPROACH,2729,4897,4864.0,25.75,214,236,147.66,0.352,48,-72.77,0,-23.129653,-47.021137,-47.047104000000004,-23.109737000000003,0.07,0.5,9.6,8.2,7.4,15.6,962.9,5298.0823199999995,25.1,1.0351,1.1581,137.2,0,9.5,2.7,12.2,9.8,14.6,0,1,HIGH ENERGY,red
08/2022,17:04:26,AIR,AIR,APPROACH,2712,4880,4848.0,25.75,216,236,147.66,0.356,48,-180.0,0,-23.128738,-47.020409,-47.046376,-23.108822,0.07,0.5,9.6,8.1,7.4,15.5,962.9,5298.0823199999995,25.1,1.0351,1.1581,137.2,0,9.5,2.7,12.2,9.8,14.6,0,1,HIGH ENERGY,red
08/2022,17:04:27,AIR,AIR,APPROACH,2696,4864,4831.0,26.0,218,237,147.66,0.358,48,-72.77,0,-23.127822,-47.019798,-47.045765,-23.107906,0.06,0.6,9.5,8.1,7.4,15.5,952.9,5265.27432,25.4,1.0361,1.1629,136.9,0,9.4,2.7,12.1,9.7,14.5,0,1,HIGH ENERGY,red
