DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
06/2022,11:44:23,AIR,AIR,DESCENT,4842,8015,8282.0,20.5,207,217,144.03,0.36,156,-180.0,0,-15.793075,-48.130661,-48.154752,-15.808658,0.0,0.0,15.2,14.5,6.2,20.7,1524.6,8452.90768,20.0,1.0174,1.0762,138.8,0,15.0,2.7,17.7,14.2,21.2,0,0,ON PATH,blue
06/2022,11:44:24,AIR,AIR,APPROACH,4816,7989,8255.0,20.5,207,217,144.03,0.36,156,-72.77,0,-15.793838,-48.129944,-48.154035,-15.809420999999999,0.06,0.1,15.1,14.4,6.2,20.6,1514.5,8419.7716,20.0,1.0174,1.0762,138.8,0,14.9,2.7,17.6,14.1,21.1,0,0,ON PATH,blue
06/2022,11:44:25,AIR,AIR,APPROACH,4789,7962,8227.0,20.75,207,217,144.03,0.36,156,0.0,0,-15.794601,-48.129288,-48.153379,-15.810184,0.06,0.1,15.1,14.3,6.2,20.5,1514.5,8419.7716,20.2,1.018,1.0789,138.7,0,14.9,2.7,17.6,14.1,21.1,0,0,ON PATH,blue
06/2022,11:44:26,AIR,AIR,APPROACH,4760,7933,8199.0,20.75,207,217,144.03,0.36,156,-72.77,0,-15.795364,-48.128571,-48.152662,-15.810946999999999,0.06,0.2,15.0,14.2,6.2,20.4,1504.5,8386.9636,20.2,1.018,1.0789,138.7,0,14.8,2.7,17.5,14.0,21.0,0,0,ON PATH,blue
06/2022,11:44:27,AIR,AIR,APPROACH,4730,7903,8169.0,20.75,208,216,144.03,0.36,156,-180.0,0,-15.796127,-48.127914,-48.152004999999996,-15.81171,0.06,0.2,15.0,14.1,6.2,20.3,1504.5,8386.9636,20.2,1.018,1.0789,138.7,0,14.8,2.7,17.5,14.0,21.0,0,0,ON PATH,blue
06/2022,11:44:28,AIR,AIR,APPROACH,4700,7873,8139.0,21.0,208,217,144.03,0.36,156,-72.77,0,-15.79689,-48.127197,-48.151288,-15.812472999999999,0.06,0.3,14.9,14.1,6.2,20.3,1494.5,8354.1556,20.5,1.0191,1.0839,138.3,0,14.7,2.7,17.4,13.9,20.9,0,0,ON PATH,blue
06/2022,11:44:29,AIR,AIR,APPROACH,4668,7841,8108.0,21.0,208,217,144.03,0.36,156,0.0,0,-15.797653,-48.126541,-48.150632,-15.813236,0.06,0.4,14.8,14.0,6.2,20.2,1484.5,8321.347600000001,20.5,1.0191,1.0839,138.3,0,14.6,2.7,17.3,13.8,20.8,0,0,ON PATH,blue
06/2022,11:44:30,AIR,AIR,APPROACH,4637,7810,8077.0,21.0,208,217,144.03,0.36,156,-72.77,0,-15.798339,-48.125824,-48.149915,-15.813922,0.06,0.4,14.8,13.9,6.2,20.1,1484.5,8321.347600000001,20.5,1.0191,1.0839,138.3,0,14.6,2.7,17.3,13.8,20.8,0,0,ON PATH,blue
06/2022,11:44:31,AIR,AIR,APPROACH,4607,7780,8046.0,21.25,208,217,144.03,0.36,156,-180.0,0,-15.799026,-48.125168,-48.149259,-15.814608999999999,0.06,0.5,14.7,13.8,6.2,20.0,1474.4,8288.21152,20.7,1.0198,1.087,138.1,0,14.5,2.7,17.2,13.8,20.6,0,0,ON PATH,blue
06/2022,11:44:32,AIR,AIR,APPROACH,4577,7750,8016.0,21.25,208,217,144.03,0.36,156,-72.77,0,-15.799713,-48.124451,-48.148542,-15.815296,0.06,0.5,14.7,13.7,6.2,19.9,1474.4,8288.21152,20.7,1.0198,1.087,138.1,0,14.5,2.7,17.2,13.8,20.6,0,0,ON PATH,blue
06/2022,11:44:33,AIR,AIR,APPROACH,4548,7721,7987.0,21.25,208,217,144.03,0.36,156,0.0,0,-15.800476,-48.123795,-48.147886,-15.816059,0.06,0.6,14.6,13.6,6.2,19.8,1464.4,8255.40352,20.7,1.0198,1.087,138.1,0,14.4,2.7,17.1,13.7,20.5,0,0,ON PATH,blue
06/2022,11:44:34,AIR,AIR,APPROACH,4520,7693,7959.0,21.5,208,216,144.03,0.36,156,-72.77,0,-15.801239,-48.123077,-48.147168,-15.816822,0.06,0.7,14.5,13.5,6.2,19.7,1454.4,8222.59552,21.0,1.0208,1.0916,137.9,0,14.3,2.7,17.0,13.6,20.4,0,0,ON PATH,blue
06/2022,11:44:35,AIR,AIR,APPROACH,4492,7665,7930.0,21.5,208,216,144.03,0.36,156,-180.0,0,-15.802002,-48.122421,-48.146512,-15.817585,0.06,0.7,14.5,13.4,6.2,19.6,1454.4,8222.59552,21.0,1.0208,1.0916,137.9,0,14.3,2.7,17.0,13.6,20.4,0,0,ON PATH,blue
06/2022,11:44:36,AIR,AIR,APPROACH,4465,7638,7904.0,21.5,208,216,144.03,0.36,156,-72.77,0,-15.802764,-48.121857,-48.145948,-15.818347,0.06,0.8,14.4,13.4,6.2,19.6,1444.3,8189.45944,21.0,1.0208,1.0916,137.9,0,14.2,2.7,16.9,13.5,20.3,0,0,ON PATH,blue
06/2022,11:44:37,AIR,AIR,APPROACH,4439,7612,7879.0,21.75,208,216,144.03,0.36,157,0.0,0,-15.803527,-48.121201,-48.145292,-15.81911,0.06,0.8,14.4,13.3,6.2,19.5,1444.3,8189.45944,21.2,1.0215,1.0948,137.7,0,14.2,2.7,16.9,13.5,20.3,0,0,ON PATH,blue
06/2022,11:44:38,AIR,AIR,APPROACH,4415,7588,7855.0,21.75,208,216,144.03,0.358,157,-72.77,0,-15.80429,-48.120636,-48.144726999999996,-15.819873,0.06,0.9,14.3,13.2,6.2,19.4,1434.3,8156.65144,21.2,1.0215,1.0948,137.7,0,14.1,2.7,16.8,13.4,20.2,0,0,ON PATH,blue
06/2022,11:44:39,AIR,AIR,APPROACH,4393,7566,7833.0,21.75,207,215,144.03,0.358,157,-180.0,0,-15.805053,-48.11998,-48.144071,-15.820635999999999,0.06,1.0,14.2,13.1,6.1,19.2,1424.3,8123.84344,21.2,1.0215,1.0948,137.7,0,14.0,2.7,16.7,13.4,20.0,0,0,ON PATH,blue
06/2022,11:44:40,AIR,AIR,APPROACH,4374,7547,7814.0,21.75,207,215,144.03,0.356,157,-72.77,0,-15.805816,-48.119312,-48.143403,-15.821399,0.06,1.0,14.2,13.1,6.1,19.2,1424.3,8123.84344,21.2,1.0215,1.0948,137.7,0,14.0,2.7,16.7,13.4,20.0,0,0,ON PATH,blue
06/2022,11:44:41,AIR,AIR,APPROACH,4358,7531,7798.0,22.0,206,214,150.55,0.356,156,0.0,0,-15.806579,-48.118702,-48.142793,-15.822161999999999,0.06,1.1,14.1,13.0,6.1,19.1,1414.2,8090.70736,21.5,1.0226,1.0998,143.6,0,13.9,2.9,16.8,13.4,20.2,0,0,ON PATH,blue
06/2022,11:44:42,AIR,AIR,APPROACH,4343,7516,7783.0,22.0,205,213,150.55,0.354,156,-72.77,0,-15.807266,-48.118088,-48.142179,-15.822849,0.05,1.1,14.1,13.0,6.0,19.0,1414.2,8090.70736,21.5,1.0226,1.0998,143.6,0,13.9,2.9,16.8,13.4,20.2,0,0,ON PATH,blue
06/2022,11:44:43,AIR,AIR,APPROACH,4329,7502,7769.0,22.0,205,212,150.55,0.352,156,-180.0,0,-15.807952,-48.117477,-48.141568,-15.823535,0.05,1.2,14.0,12.9,5.9,18.8,1404.2,8057.89936,21.5,1.0226,1.0998,143.6,0,13.8,2.9,16.7,13.4,20.0,0,0,ON PATH,blue
06/2022,11:44:44,AIR,AIR,APPROACH,4317,7490,7757.0,22.0,204,211,150.55,0.352,155,-72.77,0,-15.808639,-48.116871,-48.140962,-15.824221999999999,0.05,1.2,14.0,12.9,5.9,18.8,1404.2,8057.89936,21.5,1.0226,1.0998,143.6,0,13.8,2.9,16.7,13.4,20.0,0,0,ON PATH,blue
06/2022,11:44:45,AIR,AIR,APPROACH,4305,7478,7746.0,22.0,203,210,150.55,0.35,155,0.0,0,-15.809326,-48.116207,-48.140298,-15.824909,0.06,1.3,13.9,12.9,5.8,18.7,1394.2,8025.09136,21.5,1.0226,1.0998,143.6,0,13.7,2.9,16.6,13.3,19.9,0,0,ON PATH,blue
06/2022,11:44:46,AIR,AIR,APPROACH,4295,7468,7735.0,22.0,202,209,150.55,0.348,155,-72.77,0,-15.810012,-48.115547,-48.139638,-15.825595,0.06,1.4,13.8,12.8,5.8,18.6,1384.2,7992.28336,21.5,1.0226,1.0998,143.6,0,13.6,2.9,16.5,13.2,19.8,0,0,ON PATH,blue
06/2022,11:44:47,AIR,AIR,APPROACH,4285,7458,7725.0,22.0,201,208,150.55,0.346,155,-180.0,0,-15.810699,-48.114834,-48.138925,-15.826281999999999,0.06,1.4,13.8,12.8,5.7,18.5,1384.2,7992.28336,21.5,1.0226,1.0998,143.6,0,13.6,2.9,16.5,13.2,19.8,0,0,ON PATH,blue
06/2022,11:44:48,AIR,AIR,APPROACH,4275,7448,7715.0,21.75,200,207,150.55,0.344,155,-72.77,0,-15.811386,-48.114174,-48.138265,-15.826969,0.06,1.5,13.7,12.8,5.7,18.5,1374.1,7959.14728,21.2,1.0215,1.0948,143.9,0,13.6,2.9,16.5,13.2,19.8,0,0,ON PATH,blue
06/2022,11:44:49,AIR,AIR,APPROACH,4264,7437,7704.0,21.75,199,207,150.55,0.344,155,0.0,0,-15.812072,-48.113461,-48.137552,-15.827655,0.06,1.5,13.7,12.8,5.7,18.5,1374.1,7959.14728,21.2,1.0215,1.0948,143.9,0,13.6,2.9,16.5,13.2,19.8,0,0,ON PATH,blue
06/2022,11:44:50,AIR,AIR,APPROACH,4252,7425,7693.0,21.75,198,206,150.55,0.342,155,-72.77,0,-15.812759,-48.112804,-48.136894999999996,-15.828342,0.06,1.6,13.6,12.7,5.6,18.3,1364.1,7926.33928,21.3,1.0219,1.0966,143.8,0,13.5,2.9,16.4,13.1,19.7,0,0,ON PATH,blue
06/2022,11:44:51,AIR,AIR,APPROACH,4240,7413,7681.0,21.75,198,204,150.55,0.34,155,-180.0,0,-15.813446,-48.112087,-48.136178,-15.829029,0.06,1.7,13.5,12.7,5.5,18.2,1354.1,7893.53128,21.3,1.0219,1.0966,143.8,0,13.4,2.9,16.3,13.0,19.6,0,0,ON PATH,blue
06/2022,11:44:52,AIR,AIR,APPROACH,4229,7402,7669.0,21.75,197,204,150.55,0.34,155,-72.77,0,-15.814132,-48.111431,-48.135522,-15.829715,0.06,1.7,13.5,12.6,5.5,18.1,1354.1,7893.53128,21.3,1.0219,1.0966,143.8,0,13.4,2.9,16.3,13.0,19.6,0,0,ON PATH,blue
06/2022,11:44:53,AIR,AIR,APPROACH,4217,7390,7657.0,21.75,196,203,150.55,0.338,155,0.0,0,-15.814819,-48.110714,-48.134805,-15.830402,0.06,1.8,13.4,12.6,5.5,18.1,1344.0,7860.3952,21.3,1.0219,1.0966,143.8,0,13.3,2.9,16.2,13.0,19.4,0,0,ON PATH,blue
06/2022,11:44:54,AIR,AIR,APPROACH,4204,7377,7645.0,21.75,195,202,150.55,0.336,155,-72.77,0,-15.815506,-48.110062,-48.134153,-15.831088999999999,0.06,1.8,13.4,12.6,5.4,18.0,1344.0,7860.3952,21.3,1.0219,1.0966,143.8,0,13.3,2.9,16.2,13.0,19.4,0,0,ON PATH,blue
06/2022,11:44:55,AIR,AIR,APPROACH,4191,7364,7631.0,21.75,195,201,150.55,0.336,155,-180.0,0,-15.816192,-48.109341,-48.133432,-15.831774999999999,0.06,1.9,13.3,12.5,5.3,17.8,1334.0,7827.5872,21.3,1.0219,1.0966,143.8,0,13.2,2.9,16.1,12.9,19.3,0,0,ON PATH,blue
06/2022,11:44:56,AIR,AIR,APPROACH,4178,7351,7618.0,21.75,194,200,150.55,0.334,155,-72.77,0,-15.816879,-48.108688,-48.132779,-15.832462,0.06,2.0,13.2,12.5,5.3,17.8,1324.0,7794.7792,21.3,1.0219,1.0966,143.8,0,13.1,2.9,16.0,12.8,19.2,0,0,ON PATH,blue
06/2022,11:44:57,AIR,AIR,APPROACH,4165,7338,7605.0,21.75,193,199,150.55,0.332,155,0.0,0,-15.817565,-48.108124,-48.132214999999995,-15.833148,0.05,2.0,13.2,12.5,5.2,17.7,1324.0,7794.7792,21.3,1.0219,1.0966,143.8,0,13.1,2.9,16.0,12.8,19.2,0,0,ON PATH,blue
06/2022,11:44:58,AIR,AIR,APPROACH,4152,7325,7592.0,21.75,193,199,150.55,0.332,155,-72.77,0,-15.818252,-48.107468,-48.131558999999996,-15.833834999999999,0.06,2.1,13.1,12.4,5.2,17.6,1313.9,7761.643120000001,21.3,1.0219,1.0966,143.8,0,13.0,2.9,15.9,12.7,19.1,0,0,ON PATH,blue
06/2022,11:44:59,AIR,AIR,APPROACH,4139,7312,7579.0,21.75,192,198,150.55,0.33,155,-180.0,0,-15.818939,-48.106903,-48.130994,-15.834522,0.05,2.1,13.1,12.4,5.2,17.6,1313.9,7761.643120000001,21.3,1.0219,1.0966,143.8,0,13.0,2.9,15.9,12.7,19.1,0,0,ON PATH,blue
06/2022,11:45:00,AIR,AIR,APPROACH,4126,7299,7567.0,21.75,191,197,150.55,0.33,155,-72.77,0,-15.819625,-48.106247,-48.130338,-15.835208,0.06,2.2,13.0,12.3,5.1,17.4,1303.9,7728.835120000001,21.3,1.0219,1.0966,143.8,0,12.9,2.9,15.8,12.6,19.0,0,0,ON PATH,blue
06/2022,11:45:01,AIR,AIR,APPROACH,4113,7286,7553.0,21.75,191,196,150.55,0.328,155,0.0,0,-15.820312,-48.105595,-48.129686,-15.835894999999999,0.06,2.2,13.0,12.3,5.1,17.4,1303.9,7728.835120000001,21.3,1.0219,1.0966,143.8,0,12.9,2.9,15.8,12.6,19.0,0,0,ON PATH,blue
06/2022,11:45:02,AIR,AIR,APPROACH,4099,7272,7540.0,21.75,190,196,150.55,0.326,155,-72.77,0,-15.820922,-48.104984,-48.129075,-15.836504999999999,0.05,2.3,12.9,12.3,5.1,17.4,1293.9,7696.027120000001,21.3,1.0219,1.0966,143.8,0,12.8,2.9,15.7,12.6,18.8,0,0,ON PATH,blue
06/2022,11:45:03,AIR,AIR,APPROACH,4086,7259,7526.0,21.75,189,195,150.55,0.326,155,-180.0,0,-15.821533,-48.104374,-48.128465,-15.837116,0.05,2.3,12.9,12.2,5.0,17.2,1293.9,7696.027120000001,21.3,1.0219,1.0966,143.8,0,12.8,2.9,15.7,12.6,18.8,0,0,ON PATH,blue
06/2022,11:45:04,AIR,AIR,APPROACH,4073,7246,7512.0,21.75,189,194,150.55,0.324,155,-72.77,0,-15.822143,-48.103764,-48.127855,-15.837726,0.05,2.4,12.8,12.2,5.0,17.2,1283.8,7662.89104,21.3,1.0219,1.0966,143.8,0,12.7,2.9,15.6,12.5,18.7,0,0,ON PATH,blue
06/2022,11:45:05,AIR,AIR,APPROACH,4059,7232,7499.0,21.75,188,193,150.55,0.324,155,0.0,0,-15.822753,-48.103153,-48.127244,-15.838336,0.05,2.4,12.8,12.1,4.9,17.0,1283.8,7662.89104,21.3,1.0219,1.0966,143.8,0,12.7,2.9,15.6,12.5,18.7,0,0,ON PATH,blue
06/2022,11:45:06,AIR,AIR,APPROACH,4046,7219,7486.0,21.75,188,192,150.55,0.322,155,-72.77,0,-15.823453,-48.102482,-48.126573,-15.839036,0.06,2.5,12.7,12.1,4.9,17.0,1273.8,7630.08304,21.3,1.0219,1.0966,143.8,0,12.6,2.9,15.5,12.4,18.6,0,0,ON PATH,blue
06/2022,11:45:07,AIR,AIR,APPROACH,4032,7205,7472.0,21.75,187,192,150.55,0.322,155,-180.0,0,-15.824064,-48.101826,-48.125917,-15.839647,0.05,2.5,12.7,12.1,4.9,17.0,1273.8,7630.08304,21.3,1.0219,1.0966,143.8,0,12.6,2.9,15.5,12.4,18.6,0,0,ON PATH,blue
06/2022,11:45:08,AIR,AIR,APPROACH,4018,7191,7458.0,21.75,186,191,150.55,0.32,155,-72.77,0,-15.824674,-48.101261,-48.125352,-15.840257,0.05,2.6,12.6,12.0,4.8,16.8,1263.8,7597.27504,21.3,1.0219,1.0966,143.8,0,12.5,2.9,15.4,12.3,18.5,0,0,ON PATH,blue
