DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
03/2021,03:20:38,AIR,AIR,APPROACH,4744,8004,8004.0,17.75,204,241,147.92,0.356,23,143.09,13,-15.968281,-48.076797,-48.083085,-15.965168999999998,0.0,0.0,15.8,14.2,7.7,21.9,1584.8,8650.41184,17.3,1.008,1.0345,145.4,-6.5,15.6,2.7,18.3,14.6,22.0,0,0,ON PATH,blue
03/2021,03:20:39,AIR,AIR,APPROACH,4736,7996,7996.0,17.75,203,240,154.44,0.355,23,142.03,13,-15.966949,-48.076237,-48.082525,-15.963836999999998,0.09,0.1,15.7,14.2,7.6,21.8,1574.7,8617.27576,17.3,1.008,1.0345,151.8,-6.3,15.5,3.0,18.5,14.8,22.2,0,0,ON PATH,blue
03/2021,03:20:40,AIR,AIR,APPROACH,4728,7988,7988.0,17.75,202,239,154.44,0.353,23,140.98,13,-15.966033,-48.075676,-48.081964,-15.962920999999998,0.06,0.2,15.6,14.1,7.6,21.7,1564.7,8584.46776,17.3,1.008,1.0345,151.8,-6.1,15.4,3.0,18.4,14.7,22.1,0,0,ON PATH,blue
03/2021,03:20:41,AIR,AIR,APPROACH,4720,7980,7980.0,17.5,202,238,154.44,0.352,23,139.92,12,-15.964815,-48.075119,-48.081407,-15.961702999999998,0.08,0.2,15.6,14.1,7.5,21.6,1564.7,8584.46776,17.1,1.0073,1.0314,152.1,-5.4,15.4,3.0,18.4,14.7,22.1,0,0,ON PATH,blue
03/2021,03:20:42,AIR,AIR,APPROACH,4712,7972,7972.0,17.5,201,237,154.44,0.351,23,138.52,12,-15.963899,-48.074562,-48.08085,-15.960786999999998,0.06,0.3,15.5,14.1,7.4,21.5,1554.7,8551.65976,17.1,1.0073,1.0314,152.1,-5.2,15.3,3.1,18.4,14.7,22.1,0,0,ON PATH,blue
03/2021,03:20:43,AIR,AIR,APPROACH,4704,7964,7964.0,17.5,201,236,154.44,0.35,23,136.41,12,-15.96268,-48.075333,-48.081621,-15.959567999999999,0.09,0.4,15.4,14.1,7.4,21.5,1544.6,8518.52368,17.1,1.0073,1.0314,152.1,-4.8,15.2,3.1,18.3,14.6,22.0,0,0,ON PATH,blue
03/2021,03:20:44,AIR,AIR,APPROACH,4696,7956,7956.0,17.5,198,235,154.44,0.346,24,133.95,13,-15.961465,-48.076103,-48.082391,-15.958352999999999,0.09,0.5,15.3,14.0,7.3,21.3,1534.6,8485.715680000001,17.1,1.0073,1.0314,152.1,-4.4,15.1,3.1,18.2,14.6,21.8,0,0,ON PATH,blue
03/2021,03:20:45,AIR,AIR,APPROACH,4684,7944,7944.0,17.5,198,234,154.44,0.346,24,132.89,13,-15.96055,-48.076874,-48.083161999999994,-15.957437999999998,0.07,0.5,15.3,14.0,7.2,21.2,1534.6,8485.715680000001,17.1,1.0073,1.0314,152.1,-4.2,15.1,3.1,18.2,14.6,21.8,0,0,ON PATH,blue
03/2021,03:20:46,AIR,AIR,APPROACH,4676,7936,7936.0,17.5,197,233,154.44,0.343,24,132.19,13,-15.959332,-48.077644,-48.083932,-15.956219999999998,0.09,0.6,15.2,14.0,7.2,21.2,1524.6,8452.90768,17.1,1.0073,1.0314,152.1,-4.1,15.0,3.1,18.1,14.5,21.7,0,0,ON PATH,blue
03/2021,03:20:47,AIR,AIR,APPROACH,4664,7924,7924.0,17.5,196,232,154.44,0.342,24,131.84,13,-15.958416,-48.078411,-48.084699,-15.955303999999998,0.07,0.7,15.1,13.9,7.1,21.0,1514.5,8419.7716,17.1,1.0073,1.0314,152.1,-4.0,14.9,3.1,18.0,14.4,21.6,0,0,ON PATH,blue
03/2021,03:20:48,AIR,AIR,APPROACH,4656,7916,7916.0,17.5,194,231,154.44,0.339,24,132.19,13,-15.957504,-48.078159,-48.084447,-15.954391999999999,0.06,0.8,15.0,13.9,7.1,21.0,1504.5,8386.9636,17.1,1.0073,1.0314,152.1,-4.1,14.8,3.1,17.9,14.3,21.5,0,0,ON PATH,blue
03/2021,03:20:49,AIR,AIR,APPROACH,4644,7904,7904.0,17.5,194,230,154.44,0.338,24,133.24,13,-15.956288,-48.077908,-48.084196,-15.953176,0.07,0.8,15.0,13.9,7.0,20.9,1504.5,8386.9636,17.1,1.0073,1.0314,152.1,-4.3,14.8,3.1,17.9,14.3,21.5,0,0,ON PATH,blue
03/2021,03:20:50,AIR,AIR,APPROACH,4632,7892,7892.0,17.5,194,229,154.44,0.338,24,133.95,13,-15.955372,-48.077656,-48.083943999999995,-15.952259999999999,0.06,0.9,14.9,13.9,6.9,20.8,1494.5,8354.1556,17.1,1.0073,1.0314,152.1,-4.4,14.7,3.1,17.8,14.2,21.4,0,0,ON PATH,blue
03/2021,03:20:51,AIR,AIR,APPROACH,4624,7884,7884.0,17.5,194,228,154.44,0.338,24,133.59,13,-15.954155,-48.077408,-48.083695999999996,-15.951042999999999,0.07,1.0,14.8,13.8,6.9,20.7,1484.5,8321.347600000001,17.1,1.0073,1.0314,152.1,-4.4,14.6,3.1,17.7,14.2,21.2,0,0,ON PATH,blue
03/2021,03:20:52,AIR,AIR,APPROACH,4612,7872,7872.0,17.5,193,228,154.44,0.337,24,131.84,13,-15.953023,-48.077164,-48.083452,-15.949910999999998,0.07,1.0,14.8,13.8,6.9,20.7,1484.5,8321.347600000001,17.1,1.0073,1.0314,152.1,-4.0,14.6,3.1,17.7,14.2,21.2,0,0,ON PATH,blue
03/2021,03:20:53,AIR,AIR,APPROACH,4600,7860,7860.0,17.5,192,227,154.44,0.335,23,130.43,13,-15.952217,-48.07692,-48.083208,-15.949104999999998,0.05,1.1,14.7,13.8,6.8,20.6,1474.4,8288.21152,17.1,1.0073,1.0314,152.1,-3.9,14.5,3.1,17.6,14.1,21.1,0,0,ON PATH,blue
03/2021,03:20:54,AIR,AIR,APPROACH,4588,7848,7848.0,17.5,192,226,154.44,0.334,23,129.38,14,-15.951107,-48.076675,-48.082963,-15.947994999999999,0.07,1.2,14.6,13.7,6.8,20.5,1464.4,8255.40352,17.1,1.0073,1.0314,152.1,-3.9,14.4,3.1,17.5,14.0,21.0,0,0,ON PATH,blue
03/2021,03:20:55,AIR,AIR,APPROACH,4576,7836,7836.0,17.25,190,225,154.44,0.331,23,129.02,14,-15.950191,-48.076431,-48.082719,-15.947078999999999,0.06,1.2,14.6,13.7,6.7,20.4,1464.4,8255.40352,16.9,1.0066,1.0284,152.3,-3.9,14.4,3.1,17.5,14.0,21.0,0,0,ON PATH,blue
