DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
08/2022,14:11:33,AIR,AIR,DESCENT,4803,8001,8267.0,23.5,275,327,196.46,0.478,-56,-180.0,0,-16.030172,-47.965088,-47.948323,-16.031399999999998,0.0,0.0,27.0,14.4,14.1,28.5,2708.1,12335.734480000001,22.5,1.026,1.1154,186.0,0,26.7,4.8,31.5,25.2,37.8,0,0,ON PATH,blue
08/2022,14:11:34,AIR,AIR,DESCENT,4792,7990,8255.0,23.5,274,326,196.46,0.476,-56,-72.77,0,-16.02979,-47.966614,-47.949849,-16.031017999999996,0.09,0.1,26.9,14.3,14.1,28.4,2698.1,12302.92648,22.5,1.026,1.1154,186.0,0,26.6,4.8,31.4,25.1,37.7,0,0,ON PATH,blue
08/2022,14:11:35,AIR,AIR,DESCENT,4781,7979,8245.0,23.5,274,325,196.46,0.476,-56,0.0,0,-16.029411,-47.96814,-47.951375,-16.030639,0.09,0.2,26.8,14.3,14.0,28.3,2688.1,12270.118480000001,22.5,1.026,1.1154,186.0,0,26.5,4.8,31.3,25.0,37.6,0,0,ON PATH,blue
08/2022,14:11:36,AIR,AIR,DESCENT,4771,7969,8236.0,23.5,273,324,196.46,0.474,-56,-72.77,0,-16.029029,-47.969666,-47.952901,-16.030257,0.09,0.3,26.7,14.3,13.9,28.2,2678.0,12236.9824,22.5,1.026,1.1154,186.0,0,26.4,4.8,31.2,25.0,37.4,0,0,ON PATH,blue
08/2022,14:11:37,AIR,AIR,DESCENT,4762,7960,8226.0,23.5,272,323,196.46,0.474,-56,-180.0,0,-16.028558,-47.971191,-47.954426,-16.029786,0.09,0.4,26.6,14.2,13.8,28.0,2668.0,12204.1744,22.5,1.026,1.1154,186.0,0,26.3,4.8,31.1,24.9,37.3,0,0,ON PATH,blue
08/2022,14:11:38,AIR,AIR,DESCENT,4752,7950,8216.0,23.5,271,323,196.46,0.47,-56,-72.77,0,-16.028266,-47.972717,-47.955952,-16.029494,0.09,0.4,26.6,14.2,13.8,28.0,2668.0,12204.1744,22.5,1.026,1.1154,186.0,0,26.3,4.8,31.1,24.9,37.3,0,0,ON PATH,blue
08/2022,14:11:39,AIR,AIR,DESCENT,4742,7940,8206.0,23.25,271,322,196.46,0.47,-55,0.0,0,-16.027797,-47.974243,-47.957478,-16.029024999999997,0.09,0.5,26.5,14.2,13.7,27.9,2658.0,12171.3664,22.3,1.0253,1.1122,186.3,0,26.2,4.8,31.0,24.8,37.2,0,0,ON PATH,blue
08/2022,14:11:40,AIR,AIR,DESCENT,4733,7931,8197.0,23.25,270,321,196.46,0.468,-55,-72.77,0,-16.027504,-47.975769,-47.959004,-16.028731999999998,0.09,0.6,26.4,14.2,13.6,27.8,2647.9,12138.23032,22.3,1.0253,1.1122,186.3,0,26.1,4.8,30.9,24.7,37.1,0,0,ON PATH,blue
08/2022,14:11:41,AIR,AIR,DESCENT,4722,7920,8186.0,23.25,267,320,196.46,0.464,-55,-180.0,0,-16.027122,-47.977295,-47.96053,-16.028349999999996,0.09,0.7,26.3,14.1,13.5,27.6,2637.9,12105.422320000001,22.3,1.0253,1.1122,186.3,0,26.0,4.8,30.8,24.6,37.0,0,0,ON PATH,blue
08/2022,14:11:42,AIR,AIR,DESCENT,4713,7911,8177.0,23.0,266,319,196.46,0.462,-55,-72.77,0,-16.026742,-47.978668,-47.961903,-16.027969999999996,0.08,0.8,26.2,14.1,13.5,27.6,2627.9,12072.61432,22.1,1.0246,1.109,186.6,0,25.9,4.9,30.8,24.6,37.0,0,0,ON PATH,blue
