DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
06/2022,11:20:41,AIR,AIR,DESCENT,4754,8018,8201.0,22.25,256,278,177.36,0.444,150,-72.77,0,-15.700912,-48.247223,-48.276455999999996,-15.717456,0.0,0.0,23.7,14.2,10.2,24.4,2377.1,11249.78968,21.4,1.0222,1.098,169.3,0,23.4,4.0,27.4,21.9,32.9,0,0,ON PATH,blue
06/2022,11:20:42,AIR,AIR,DESCENT,4713,7977,8160.0,22.25,256,278,177.36,0.444,150,0.0,0,-15.701751,-48.246231,-48.275464,-15.718295,0.08,0.1,23.6,14.1,10.2,24.3,2367.1,11216.98168,21.4,1.0222,1.098,169.3,0,23.3,4.0,27.3,21.8,32.8,0,0,ON PATH,blue
06/2022,11:20:43,AIR,AIR,DESCENT,4672,7936,8119.0,22.5,255,279,177.36,0.444,150,-72.77,0,-15.702514,-48.245163,-48.274395999999996,-15.719058,0.08,0.2,23.5,14.0,10.3,24.3,2357.1,11184.17368,21.6,1.0229,1.1012,169.0,0,23.2,4.0,27.2,21.8,32.6,0,0,ON PATH,blue
06/2022,11:20:44,AIR,AIR,DESCENT,4631,7895,8078.0,22.5,255,279,177.36,0.442,150,-180.0,0,-15.703277,-48.244095,-48.273328,-15.719821,0.08,0.2,23.5,13.8,10.3,24.1,2357.1,11184.17368,21.7,1.0233,1.103,168.9,0,23.2,4.0,27.2,21.8,32.6,0,0,ON PATH,blue
06/2022,11:20:45,AIR,AIR,DESCENT,4590,7854,8037.0,22.5,256,279,177.36,0.444,150,-72.77,0,-15.704116,-48.243103,-48.272335999999996,-15.72066,0.08,0.3,23.4,13.7,10.3,24.0,2347.0,11151.0376,21.6,1.0229,1.1012,169.0,0,23.1,4.0,27.1,21.7,32.5,0,0,ON PATH,blue
06/2022,11:20:46,AIR,AIR,DESCENT,4548,7812,7995.0,22.5,256,279,177.36,0.444,150,0.0,0,-15.704956,-48.242111,-48.271344,-15.721499999999999,0.08,0.4,23.3,13.6,10.3,23.9,2337.0,11118.2296,21.6,1.0229,1.1012,169.0,0,23.0,4.0,27.0,21.6,32.4,0,0,ON PATH,blue
06/2022,11:20:47,AIR,AIR,DESCENT,4505,7769,7953.0,22.5,257,279,177.36,0.444,150,-72.77,0,-15.705795,-48.241043,-48.270275999999996,-15.722339,0.08,0.5,23.2,13.5,10.3,23.8,2327.0,11085.421600000001,21.6,1.0229,1.1012,169.0,0,22.9,4.0,26.9,21.5,32.3,0,0,ON PATH,blue
06/2022,11:20:48,AIR,AIR,DESCENT,4463,7727,7911.0,22.75,257,279,177.36,0.444,150,-180.0,0,-15.706634,-48.239975,-48.269208,-15.723177999999999,0.08,0.6,23.1,13.3,10.3,23.6,2316.9,11052.285520000001,21.9,1.0239,1.1057,168.7,0,22.8,4.0,26.8,21.4,32.2,0,0,ON PATH,blue
06/2022,11:20:49,AIR,AIR,DESCENT,4422,7686,7869.0,22.75,257,279,177.36,0.444,150,-72.77,0,-15.707397,-48.238979,-48.268212,-15.723941,0.07,0.6,23.1,13.2,10.3,23.5,2316.9,11052.285520000001,21.9,1.0239,1.1057,168.7,0,22.8,4.0,26.8,21.4,32.2,0,0,ON PATH,blue
06/2022,11:20:50,AIR,AIR,DESCENT,4381,7645,7828.0,22.75,257,279,177.36,0.444,150,0.0,0,-15.708236,-48.237991,-48.267224,-15.724779999999999,0.08,0.7,23.0,13.1,10.3,23.4,2306.9,11019.47752,21.9,1.0239,1.1057,168.7,0,22.7,4.0,26.7,21.4,32.0,0,0,ON PATH,blue
