DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
12/2021,10:13:17,AIR,AIR,APPROACH,4652,5008,5008.0,25.25,207,220,151.06,0.341,14,62.58,16,-30.861037,-60.223984,-60.224884780000004,-3.3853387779999977,0.0,0.0,39.1,13.9,6.4,20.3,3921.8,13118.641440000001,24.7,1.0337,1.1515,140.8,10.6,38.7,3.2,41.9,33.5,50.3,1,0,LOW ENERGY,orange
12/2021,10:13:18,AIR,AIR,APPROACH,4636,4992,4992.0,25.25,206,219,151.06,0.341,14,62.93,16,-30.851882,-60.22385,-60.22475078,-3.376183777999998,0.55,0.6,38.5,13.9,6.3,20.2,3861.6,12921.13728,24.7,1.0337,1.1515,140.8,10.5,38.1,3.2,41.3,33.0,49.6,1,0,LOW ENERGY,orange
12/2021,10:13:19,AIR,AIR,APPROACH,4620,4976,4976.0,25.25,206,219,151.06,0.34,14,62.93,16,-30.842745,-60.223713,-60.22461378,-3.367046777999999,0.55,1.1,38.0,13.8,6.3,20.1,3811.4,12756.441120000001,24.7,1.0337,1.1515,140.8,10.5,37.6,3.2,40.8,32.6,49.0,1,0,LOW ENERGY,orange
12/2021,10:13:20,AIR,AIR,APPROACH,4600,4956,4956.0,25.25,205,218,151.06,0.339,14,62.93,16,-30.830574,-60.223579,-60.22447978,-3.3548757779999967,0.73,1.8,37.3,13.8,6.3,20.1,3741.2,12526.12896,24.7,1.0337,1.1515,140.8,10.5,36.9,3.2,40.1,32.1,48.1,1,0,LOW ENERGY,orange
12/2021,10:13:21,AIR,AIR,APPROACH,4576,4932,4932.0,25.25,205,218,151.06,0.339,14,62.93,16,-30.821419,-60.223446,-60.224346780000005,-3.345720777999997,0.55,2.4,36.7,13.7,6.3,20.0,3681.0,12328.624800000001,24.7,1.0337,1.1515,140.8,10.5,36.3,3.2,39.5,31.6,47.4,1,0,LOW ENERGY,orange
12/2021,10:13:22,AIR,AIR,APPROACH,4552,4908,4908.0,25.25,205,217,151.06,0.338,14,62.93,16,-30.809226,-60.223312,-60.22421278,-3.333527777999997,0.73,3.1,36.0,13.6,6.2,19.8,3610.8,12098.312640000002,24.7,1.0337,1.1515,140.8,10.5,35.6,3.2,38.8,31.0,46.6,1,0,LOW ENERGY,orange
12/2021,10:13:23,AIR,AIR,APPROACH,4528,4884,4884.0,25.25,205,217,151.06,0.337,14,63.28,16,-30.797896,-60.223179,-60.224079780000004,-3.3221977779999996,0.68,3.8,35.3,13.5,6.2,19.7,3540.6,11868.00048,24.7,1.0337,1.1515,140.8,10.4,34.9,3.2,38.1,30.5,45.7,1,0,LOW ENERGY,orange
12/2021,10:13:24,AIR,AIR,APPROACH,4504,4860,4860.0,25.25,204,217,151.06,0.336,14,63.63,16,-30.789835,-60.223045,-60.22394578,-3.314136777999998,0.48,4.3,34.8,13.5,6.2,19.7,3490.5,11703.6324,24.7,1.0337,1.1515,140.8,10.4,34.4,3.2,37.6,30.1,45.1,1,0,LOW ENERGY,orange
12/2021,10:13:25,AIR,AIR,APPROACH,4480,4836,4836.0,25.25,204,217,151.06,0.336,14,63.63,16,-30.778732,-60.222912,-60.22381278,-3.3030337779999996,0.67,4.9,34.2,13.4,6.2,19.6,3430.3,11506.128240000002,24.7,1.0337,1.1515,140.8,10.4,33.8,3.2,37.0,29.6,44.4,1,0,LOW ENERGY,orange
12/2021,10:13:26,AIR,AIR,APPROACH,4456,4812,4812.0,25.25,204,216,151.06,0.335,14,63.98,16,-30.769577,-60.222778,-60.22367878,-3.293878778,0.55,5.5,33.6,13.3,6.2,19.5,3370.1,11308.62408,24.7,1.0337,1.1515,140.8,10.3,33.2,3.2,36.4,29.1,43.7,1,0,LOW ENERGY,orange
