DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
03/2021,07:25:51,AIR,AIR,APPROACH,4720,5004,5004.0,25.5,218,236,155.91,0.36,14,86.13,14,-31.251314,-60.229023,-60.23162078,-3.7406847779999985,0.0,0.0,64.1,14.1,7.4,21.5,6429.3,21345.247440000003,24.9,1.0344,1.1548,145.1,4.3,63.4,3.2,66.6,53.3,79.9,1,0,LOW ENERGY,orange
03/2021,07:25:52,AIR,AIR,APPROACH,4700,4984,4984.0,25.75,218,235,155.91,0.359,14,85.08,15,-31.239176,-60.228886,-60.231483780000005,-3.7285467779999983,0.73,0.7,63.4,14.1,7.3,21.4,6359.1,21114.93528,25.1,1.0351,1.1581,144.9,4.9,62.7,3.2,65.9,52.7,79.1,1,0,LOW ENERGY,orange
03/2021,07:25:53,AIR,AIR,APPROACH,4676,4960,4960.0,25.75,217,235,155.91,0.358,14,84.73,16,-31.230021,-60.228741,-60.23133878,-3.7193917779999985,0.55,1.3,62.8,14.0,7.3,21.3,6298.9,20917.43112,25.1,1.0351,1.1581,144.9,5.3,62.1,3.2,65.3,52.2,78.4,1,0,LOW ENERGY,orange
03/2021,07:25:54,AIR,AIR,APPROACH,4656,4940,4940.0,25.75,217,234,155.91,0.358,14,84.02,16,-31.217833,-60.228592,-60.23118978,-3.7072037779999967,0.73,2.0,62.1,13.9,7.2,21.1,6228.7,20687.11896,25.1,1.0351,1.1581,144.9,5.5,61.4,3.2,64.6,51.7,77.5,1,0,LOW ENERGY,orange
03/2021,07:25:55,AIR,AIR,APPROACH,4636,4920,4920.0,25.75,217,234,155.91,0.358,14,83.32,16,-31.208677,-60.228439,-60.231036780000004,-3.6980477779999994,0.55,2.6,61.5,13.9,7.2,21.1,6168.5,20489.6148,25.1,1.0351,1.1581,144.9,5.7,60.8,3.2,64.0,51.2,76.8,1,0,LOW ENERGY,orange
03/2021,07:25:56,AIR,AIR,APPROACH,4616,4900,4900.0,25.75,217,233,155.91,0.357,14,82.62,17,-31.19648,-60.228291,-60.23088878,-3.685850777999999,0.73,3.3,60.8,13.8,7.2,21.0,6098.3,20259.30264,25.1,1.0351,1.1581,144.9,6.2,60.1,3.2,63.3,50.6,76.0,1,0,LOW ENERGY,orange
03/2021,07:25:57,AIR,AIR,APPROACH,4592,4876,4876.0,25.75,216,233,155.91,0.356,14,81.91,17,-31.184297,-60.228142,-60.23073978,-3.6736677779999987,0.73,4.0,60.1,13.7,7.2,20.9,6028.1,20028.99048,25.1,1.0351,1.1581,144.9,6.4,59.4,3.2,62.6,50.1,75.1,1,0,LOW ENERGY,orange
03/2021,07:25:58,AIR,AIR,APPROACH,4572,4856,4856.0,25.75,216,233,155.91,0.355,14,81.91,17,-31.175141,-60.227997,-60.230594780000004,-3.664511777999998,0.55,4.6,59.5,13.7,7.2,20.9,5967.9,19831.48632,25.1,1.0351,1.1581,144.9,6.4,58.9,3.2,62.1,49.7,74.5,1,0,LOW ENERGY,orange
03/2021,07:25:59,AIR,AIR,APPROACH,4552,4836,4836.0,25.5,216,232,155.91,0.355,14,81.91,17,-31.162939,-60.227852,-60.23044978,-3.6523097779999993,0.73,5.3,58.8,13.6,7.1,20.7,5897.7,19601.17416,24.9,1.0344,1.1548,145.1,6.4,58.2,3.2,61.4,49.1,73.7,1,0,LOW ENERGY,orange
03/2021,07:26:00,AIR,AIR,APPROACH,4532,4816,4816.0,25.5,215,232,155.91,0.353,14,81.91,17,-31.153784,-60.227707,-60.230304780000004,-3.6431547779999995,0.55,5.8,58.3,13.6,7.1,20.7,5847.5,19436.478,24.9,1.0344,1.1548,145.1,6.4,57.7,3.2,60.9,48.7,73.1,1,0,LOW ENERGY,orange
03/2021,07:26:01,AIR,AIR,APPROACH,4512,4796,4796.0,25.5,215,231,155.91,0.353,14,82.27,17,-31.141589,-60.227558,-60.230155780000004,-3.6309597779999976,0.73,6.6,57.5,13.5,7.1,20.6,5767.3,19173.35784,24.9,1.0344,1.1548,145.1,6.3,56.9,3.2,60.1,48.1,72.1,1,0,LOW ENERGY,orange
