DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
12/2020,07:04:55,AIR,AIR,APPROACH,4696,5016,5016.0,25.5,219,239,155.23,0.362,13,85.08,15,-30.922916,-60.22509,-60.22532678,-3.418161777999998,0.0,0.0,44.3,14.0,7.6,21.6,4443.3,14829.578640000002,24.8,1.034,1.1529,144.6,4.6,43.8,3.1,46.9,37.5,56.3,1,0,LOW ENERGY,orange
12/2020,07:04:56,AIR,AIR,APPROACH,4664,4984,4984.0,25.5,219,238,155.23,0.361,13,85.08,15,-30.909517,-60.224949,-60.225185780000004,-3.4047627779999985,0.8,0.8,43.5,13.9,7.5,21.4,4363.1,14566.458480000001,24.9,1.0344,1.1548,144.5,4.6,43.0,3.1,46.1,36.9,55.3,1,0,LOW ENERGY,orange
12/2020,07:04:57,AIR,AIR,APPROACH,4632,4952,4952.0,25.5,218,238,155.23,0.36,13,85.08,15,-30.900362,-60.224808,-60.225044780000005,-3.3956077779999987,0.55,1.4,42.9,13.9,7.5,21.4,4302.9,14368.954319999999,24.9,1.0344,1.1548,144.5,4.6,42.4,3.1,45.5,36.4,54.6,1,0,LOW ENERGY,orange
12/2020,07:04:58,AIR,AIR,APPROACH,4600,4920,4920.0,25.5,218,237,155.23,0.36,13,85.43,15,-30.888166,-60.224663,-60.22489978,-3.3834117779999957,0.73,2.1,42.2,13.8,7.4,21.2,4232.7,14138.64216,24.9,1.0344,1.1548,144.5,4.5,41.7,3.1,44.8,35.8,53.8,1,0,LOW ENERGY,orange
12/2020,07:04:59,AIR,AIR,APPROACH,4572,4892,4892.0,25.75,218,237,155.23,0.359,13,85.43,15,-30.879011,-60.224522,-60.22475878,-3.374256777999996,0.55,2.6,41.7,13.7,7.4,21.1,4182.5,13973.946,25.1,1.0351,1.1581,144.2,4.5,41.2,3.1,44.3,35.4,53.2,1,0,LOW ENERGY,orange
12/2020,07:05:00,AIR,AIR,APPROACH,4544,4864,4864.0,25.75,217,237,155.23,0.358,13,85.78,15,-30.866814,-60.22438,-60.22461678,-3.362059777999999,0.73,3.4,40.9,13.6,7.4,21.0,4102.3,13710.825840000001,25.1,1.0351,1.1581,144.2,4.4,40.5,3.1,43.6,34.9,52.3,1,0,LOW ENERGY,orange
12/2020,07:05:01,AIR,AIR,APPROACH,4516,4836,4836.0,25.75,217,236,155.17,0.357,13,85.78,15,-30.854626,-60.224239,-60.22447578,-3.349871777999997,0.73,4.1,40.2,13.5,7.4,20.9,4032.1,13480.51368,25.1,1.0351,1.1581,144.2,4.4,39.8,3.1,42.9,34.3,51.5,1,0,LOW ENERGY,orange
12/2020,07:05:02,AIR,AIR,APPROACH,4492,4812,4812.0,25.75,216,236,155.17,0.356,13,86.13,15,-30.84547,-60.224098,-60.22433478,-3.3407157779999963,0.55,4.6,39.7,13.4,7.4,20.8,3981.9,13315.81752,25.1,1.0351,1.1581,144.2,4.4,39.3,3.1,42.4,33.9,50.9,1,0,LOW ENERGY,orange
12/2020,07:05:03,AIR,AIR,APPROACH,4464,4784,4784.0,25.75,216,235,161.69,0.355,13,86.48,15,-30.833273,-60.223953,-60.22418978,-3.328518777999996,0.73,5.4,38.9,13.3,7.3,20.6,3901.7,13052.69736,25.1,1.0351,1.1581,150.2,4.3,38.5,3.4,41.9,33.5,50.3,1,0,LOW ENERGY,orange
12/2020,07:05:04,AIR,AIR,APPROACH,4440,4760,4760.0,25.75,215,234,161.69,0.353,13,86.84,15,-30.824118,-60.223816,-60.22405278,-3.319363777999996,0.55,5.9,38.4,13.3,7.2,20.5,3851.5,12888.0012,25.1,1.0351,1.1581,150.2,4.2,38.0,3.4,41.4,33.1,49.7,1,0,LOW ENERGY,orange
12/2020,07:05:05,AIR,AIR,APPROACH,4416,4736,4736.0,25.75,214,234,161.69,0.352,13,87.19,15,-30.814977,-60.223675,-60.22391178,-3.3102227779999964,0.55,6.5,37.8,13.2,7.2,20.4,3791.4,12690.825120000001,25.1,1.0351,1.1581,150.2,4.1,37.4,3.4,40.8,32.6,49.0,1,0,LOW ENERGY,orange
12/2020,07:05:06,AIR,AIR,APPROACH,4392,4712,4712.0,25.75,214,233,161.69,0.351,13,87.19,15,-30.802801,-60.223534,-60.22377078,-3.2980467779999962,0.73,7.2,37.1,13.1,7.2,20.3,3721.2,12460.51296,25.1,1.0351,1.1581,150.2,4.1,36.7,3.4,40.1,32.1,48.1,1,0,LOW ENERGY,orange
12/2020,07:05:07,AIR,AIR,APPROACH,4372,4692,4692.0,25.75,213,232,161.69,0.349,13,87.54,15,-30.793645,-60.223396,-60.22363278,-3.288890777999999,0.55,7.7,36.6,13.1,7.1,20.2,3671.0,12295.8168,25.1,1.0351,1.1581,150.2,4.0,36.2,3.4,39.6,31.7,47.5,1,0,LOW ENERGY,orange
12/2020,07:05:08,AIR,AIR,APPROACH,4348,4668,4668.0,25.75,212,231,161.69,0.348,13,87.54,15,-30.781457,-60.223255,-60.22349178,-3.276702777999997,0.73,8.5,35.8,13.0,7.1,20.1,3590.8,12032.696640000002,25.1,1.0351,1.1581,150.2,4.0,35.4,3.4,38.8,31.0,46.6,1,0,LOW ENERGY,orange
12/2020,07:05:09,AIR,AIR,APPROACH,4328,4648,4648.0,25.75,212,231,161.69,0.347,13,87.54,15,-30.769987,-60.223118,-60.22335478,-3.265232777999998,0.69,9.2,35.1,12.9,7.1,20.0,3520.6,11802.38448,25.1,1.0351,1.1581,150.2,4.0,34.7,3.4,38.1,30.5,45.7,1,0,LOW ENERGY,orange
12/2020,07:05:10,AIR,AIR,APPROACH,4304,4624,4624.0,25.75,211,230,161.69,0.346,13,87.54,15,-30.762002,-60.222977,-60.22321378,-3.2572477779999964,0.48,9.6,34.7,12.9,7.0,19.9,3480.4,11670.49632,25.1,1.0351,1.1581,150.2,4.0,34.3,3.4,37.7,30.2,45.2,1,0,LOW ENERGY,orange
