DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
01/2021,05:30:47,AIR,AIR,DESCENT,4688,5012,5012.0,24.75,212,231,186.02,0.35,-7,64.34,15,-31.753752,-60.216263,-60.21649978,-4.271217777999997,0.0,0.0,92.5,14.0,7.1,21.1,9277.8,30690.606239999997,24.2,1.0319,1.143,174.0,4.8,91.5,4.5,96.0,76.8,115.2,1,0,LOW ENERGY,orange
01/2021,05:30:48,AIR,AIR,DESCENT,4672,4996,4996.0,24.75,212,231,186.02,0.35,-7,64.34,15,-31.745775,-60.216827,-60.217063780000004,-4.263240777999997,0.48,0.5,92.0,14.0,7.1,21.1,9227.7,30526.238160000004,24.2,1.0319,1.143,174.0,4.8,91.0,4.5,95.5,76.4,114.6,1,0,LOW ENERGY,orange
01/2021,05:30:49,AIR,AIR,DESCENT,4652,4976,4976.0,25.0,212,231,186.02,0.35,-7,64.69,15,-31.734264,-60.217209,-60.21744578,-4.251729777999998,0.69,1.2,91.3,13.9,7.1,21.0,9157.5,30295.926000000003,24.4,1.0326,1.1463,173.7,4.7,90.3,4.5,94.8,75.8,113.8,1,0,LOW ENERGY,orange
01/2021,05:30:50,AIR,AIR,DESCENT,4632,4956,4956.0,25.0,212,231,186.02,0.349,-7,64.69,15,-31.726286,-60.21759,-60.21782678,-4.243751778,0.48,1.6,90.9,13.9,7.1,21.0,9117.3,30164.03784,24.4,1.0326,1.1463,173.7,4.7,89.9,4.5,94.4,75.5,113.3,1,0,LOW ENERGY,orange
01/2021,05:30:51,AIR,AIR,DESCENT,4612,4936,4936.0,25.0,212,231,186.02,0.35,-7,64.69,15,-31.715257,-60.217865,-60.218101780000005,-4.232722777999999,0.66,2.3,90.2,13.8,7.1,20.9,9047.1,29933.725680000003,24.4,1.0326,1.1463,173.7,4.7,89.2,4.5,93.7,75.0,112.4,1,0,LOW ENERGY,orange
01/2021,05:30:52,AIR,AIR,DESCENT,4596,4920,4920.0,25.0,212,230,185.93,0.35,-7,63.98,15,-31.703746,-60.21814,-60.21837678,-4.221211777999997,0.69,3.0,89.5,13.7,7.0,20.7,8976.9,29703.413520000002,24.4,1.0326,1.1463,173.7,4.9,88.5,4.5,93.0,74.4,111.6,1,0,LOW ENERGY,orange
01/2021,05:30:53,AIR,AIR,DESCENT,4576,4900,4900.0,25.0,212,230,185.93,0.35,-7,63.63,15,-31.695769,-60.218414,-60.218650780000004,-4.213234777999997,0.48,3.5,89.0,13.7,7.0,20.7,8926.8,29539.045439999998,24.4,1.0326,1.1463,173.7,5.0,88.0,4.5,92.5,74.0,111.0,1,0,LOW ENERGY,orange
01/2021,05:30:54,AIR,AIR,DESCENT,4560,4884,4884.0,25.0,212,230,185.93,0.35,-7,63.28,15,-31.684744,-60.218994,-60.219230780000004,-4.202209777999997,0.66,4.1,88.4,13.6,7.0,20.6,8866.6,29341.54128,24.4,1.0326,1.1463,173.7,5.1,87.4,4.5,91.9,73.5,110.3,1,0,LOW ENERGY,orange
01/2021,05:30:55,AIR,AIR,DESCENT,4540,4864,4864.0,25.0,212,230,185.93,0.35,-7,62.93,15,-31.675589,-60.219574,-60.21981078,-4.193054777999997,0.55,4.7,87.8,13.6,7.0,20.6,8806.4,29144.03712,24.4,1.0326,1.1463,173.7,5.1,86.8,4.5,91.3,73.0,109.6,1,0,LOW ENERGY,orange
01/2021,05:30:56,AIR,AIR,DESCENT,4524,4848,4848.0,25.0,212,230,185.93,0.349,-7,62.58,15,-31.666441,-60.219955,-60.22019178,-4.183906777999997,0.55,5.2,87.3,13.5,7.0,20.5,8756.3,28979.66904,24.4,1.0326,1.1463,173.7,5.2,86.3,4.5,90.8,72.6,109.0,1,0,LOW ENERGY,orange
