DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
01/2021,05:03:45,AIR,AIR,APPROACH,4692,5008,5008.0,23.75,217,227,153.55,0.359,11,29.18,11,-30.891373,-60.225288,-60.22583378,-3.403624778000001,0.0,0.0,41.5,14.0,6.8,20.8,4162.5,13908.33,23.2,1.0285,1.127,144.6,10.5,41.0,3.4,44.4,35.5,53.3,1,0,LOW ENERGY,orange
01/2021,05:03:46,AIR,AIR,APPROACH,4680,4996,4996.0,23.75,216,226,153.55,0.357,11,29.18,11,-30.87992,-60.225174,-60.225719780000006,-3.392171777999998,0.69,0.7,40.8,14.0,6.8,20.8,4092.3,13678.01784,23.2,1.0285,1.127,144.6,10.5,40.4,3.4,43.8,35.0,52.6,1,0,LOW ENERGY,orange
01/2021,05:03:47,AIR,AIR,APPROACH,4668,4984,4984.0,23.75,216,226,153.55,0.356,11,29.18,11,-30.871921,-60.225063,-60.22560878,-3.384172778,0.48,1.2,40.3,14.0,6.8,20.8,4042.1,13513.321680000001,23.2,1.0285,1.127,144.6,10.5,39.9,3.4,43.3,34.6,52.0,1,0,LOW ENERGY,orange
01/2021,05:03:48,AIR,AIR,APPROACH,4656,4972,4972.0,23.75,215,225,160.07,0.355,11,28.83,11,-30.860889,-60.224957,-60.22550278000001,-3.373140778,0.66,1.8,39.7,13.9,6.7,20.6,3981.9,13315.81752,23.2,1.0285,1.127,150.8,10.5,39.3,3.7,43.0,34.4,51.6,1,0,LOW ENERGY,orange
01/2021,05:03:49,AIR,AIR,APPROACH,4640,4956,4956.0,23.75,214,224,160.07,0.354,11,28.48,11,-30.851734,-60.224842,-60.225387780000005,-3.363985778,0.55,2.4,39.1,13.9,6.6,20.5,3921.8,13118.641440000001,23.2,1.0285,1.127,150.8,10.5,38.7,3.7,42.4,33.9,50.9,1,0,LOW ENERGY,orange
01/2021,05:03:50,AIR,AIR,APPROACH,4628,4944,4944.0,23.75,214,224,160.07,0.353,11,28.83,11,-30.839546,-60.224735,-60.225280780000006,-3.351797777999998,0.73,3.1,38.4,13.8,6.6,20.4,3851.5,12888.0012,23.2,1.0285,1.127,150.8,10.5,38.0,3.7,41.7,33.4,50.0,1,0,LOW ENERGY,orange
01/2021,05:03:51,AIR,AIR,APPROACH,4616,4932,4932.0,23.75,213,223,160.07,0.352,11,28.83,11,-30.827374,-60.224625,-60.225170780000006,-3.3396257779999985,0.73,3.8,37.7,13.8,6.6,20.4,3781.3,12657.689040000001,23.2,1.0285,1.127,150.8,10.5,37.3,3.7,41.0,32.8,49.2,1,0,LOW ENERGY,orange
01/2021,05:03:52,AIR,AIR,APPROACH,4604,4920,4920.0,23.75,212,222,160.07,0.35,11,29.18,11,-30.818219,-60.224514,-60.22505978,-3.3304707779999987,0.55,4.4,37.1,13.8,6.5,20.3,3721.2,12460.51296,23.2,1.0285,1.127,150.8,10.5,36.7,3.7,40.4,32.3,48.5,1,0,LOW ENERGY,orange
01/2021,05:03:53,AIR,AIR,APPROACH,4596,4912,4912.0,23.75,212,221,160.07,0.349,11,29.53,11,-30.806034,-60.224407,-60.22495278,-3.318285778,0.73,5.1,36.4,13.7,6.5,20.2,3650.9,12229.872720000001,23.2,1.0285,1.127,150.8,10.4,36.0,3.7,39.7,31.8,47.6,1,0,LOW ENERGY,orange
01/2021,05:03:54,AIR,AIR,APPROACH,4584,4900,4900.0,23.75,211,220,160.07,0.348,11,29.88,11,-30.796878,-60.224293,-60.224838780000006,-3.309129777999999,0.55,5.7,35.8,13.7,6.4,20.1,3590.8,12032.696640000002,23.2,1.0285,1.127,150.8,10.4,35.4,3.7,39.1,31.3,46.9,1,0,LOW ENERGY,orange
01/2021,05:03:55,AIR,AIR,APPROACH,4576,4892,4892.0,23.75,210,220,160.07,0.347,11,29.88,11,-30.787745,-60.224186,-60.224731780000006,-3.2999967780000006,0.55,6.2,35.3,13.7,6.4,20.1,3540.6,11868.00048,23.2,1.0285,1.127,150.8,10.4,34.9,3.7,38.6,30.9,46.3,1,0,LOW ENERGY,orange
01/2021,05:03:56,AIR,AIR,APPROACH,4568,4884,4884.0,23.75,209,219,160.07,0.345,11,30.23,11,-30.775578,-60.224075,-60.22462078,-3.287829777999999,0.73,7.0,34.5,13.7,6.3,20.0,3460.4,11604.88032,23.2,1.0285,1.127,150.8,10.4,34.1,3.7,37.8,30.2,45.4,1,0,LOW ENERGY,orange
