DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
12/2021,18:14:01,AIR,AIR,APPROACH,4644,5012,5012.0,24.5,209,231,152.8,0.345,-49,43.59,7,-31.715097,-60.173569,-60.17718578,-4.193681777999998,0.0,0.0,93.3,13.9,7.1,21.0,9358.1,30954.054480000003,23.9,1.0309,1.1383,143.2,-0.3,92.3,2.9,95.2,76.2,114.2,1,0,LOW ENERGY,orange
12/2021,18:14:02,AIR,AIR,APPROACH,4628,4996,4996.0,24.5,208,230,152.8,0.343,-49,44.3,7,-31.709015,-60.174397,-60.17801378,-4.187599777999999,0.37,0.4,92.9,13.8,7.0,20.8,9317.9,30822.16632,23.9,1.0309,1.1383,143.2,-0.4,91.9,2.9,94.8,75.8,113.8,1,0,LOW ENERGY,orange
12/2021,18:14:03,AIR,AIR,APPROACH,4616,4984,4984.0,24.25,208,230,152.8,0.343,-49,45.0,7,-31.70295,-60.17522,-60.178836780000005,-4.181534778,0.37,0.7,92.6,13.8,7.0,20.8,9287.8,30723.41424,23.7,1.0302,1.135,143.4,-0.5,91.6,2.9,94.5,75.6,113.4,1,0,LOW ENERGY,orange
12/2021,18:14:04,AIR,AIR,APPROACH,4604,4972,4972.0,24.25,207,229,152.8,0.341,-49,45.7,7,-31.699898,-60.176315,-60.179931780000004,-4.178482777999999,0.19,0.9,92.4,13.8,6.9,20.7,9267.8,30657.79824,23.7,1.0302,1.135,143.4,-0.6,91.4,2.9,94.3,75.4,113.2,1,0,LOW ENERGY,orange
12/2021,18:14:05,AIR,AIR,APPROACH,4588,4956,4956.0,24.25,206,229,152.8,0.34,-49,46.05,7,-31.693811,-60.177143,-60.18075978,-4.1723957779999985,0.37,1.3,92.0,13.7,6.9,20.6,9227.7,30526.238160000004,23.7,1.0302,1.135,143.4,-0.6,91.0,2.9,93.9,75.1,112.7,1,0,LOW ENERGY,orange
12/2021,18:14:06,AIR,AIR,APPROACH,4576,4944,4944.0,24.25,206,228,152.8,0.339,-49,47.11,7,-31.687737,-60.177967,-60.181583780000004,-4.166321777999997,0.37,1.7,91.6,13.7,6.9,20.6,9187.5,30394.350000000002,23.7,1.0302,1.135,143.4,-0.7,90.6,2.9,93.5,74.8,112.2,1,0,LOW ENERGY,orange
12/2021,18:14:07,AIR,AIR,APPROACH,4564,4932,4932.0,24.25,205,228,152.8,0.339,-49,47.46,7,-31.681671,-60.179062,-60.18267878,-4.160255778,0.37,2.0,91.3,13.6,6.9,20.5,9157.5,30295.926000000003,23.7,1.0302,1.135,143.4,-0.8,90.3,2.9,93.2,74.6,111.8,1,0,LOW ENERGY,orange
12/2021,18:14:08,AIR,AIR,APPROACH,4552,4920,4920.0,24.25,205,227,152.8,0.338,-49,48.16,7,-31.675611,-60.179886,-60.183502780000005,-4.154195777999998,0.37,2.4,90.9,13.6,6.8,20.4,9117.3,30164.03784,23.7,1.0302,1.135,143.4,-0.9,89.9,2.9,92.8,74.2,111.4,1,0,LOW ENERGY,orange
12/2021,18:14:09,AIR,AIR,APPROACH,4544,4912,4912.0,24.5,204,226,152.8,0.337,-49,48.16,7,-31.672559,-60.180714,-60.18433078,-4.151143777999998,0.19,2.6,90.7,13.6,6.8,20.4,9097.3,30098.42184,24.0,1.0312,1.1397,143.1,-0.9,89.7,2.9,92.6,74.1,111.1,1,0,LOW ENERGY,orange
12/2021,18:14:10,AIR,AIR,APPROACH,4532,4900,4900.0,24.5,204,226,152.8,0.336,-49,47.11,7,-31.669519,-60.181805,-60.18542178,-4.148103777999999,0.19,2.8,90.5,13.6,6.8,20.4,9077.2,30032.477760000005,24.0,1.0312,1.1397,143.1,-0.7,89.5,2.9,92.4,73.9,110.9,1,0,LOW ENERGY,orange
