DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
03/2021,00:52:40,AIR,AIR,APPROACH,4748,5008,5008.0,24.0,212,232,131.25,0.351,11,78.75,4,-31.07127,-60.229534,-60.23334178,-3.568873777999997,0.0,0.0,53.1,14.2,7.1,21.3,5326.0,17725.540800000002,23.4,1.0292,1.1303,123.5,1.5,52.5,2.2,54.7,43.8,65.6,1,0,LOW ENERGY,orange
03/2021,00:52:41,AIR,AIR,APPROACH,4728,4988,4988.0,24.0,212,231,131.25,0.35,11,81.56,4,-31.059096,-60.229431,-60.23323878,-3.5566997779999987,0.73,0.7,52.4,14.1,7.1,21.2,5255.8,17495.22864,23.4,1.0292,1.1303,123.5,1.3,51.8,2.2,54.0,43.2,64.8,1,0,LOW ENERGY,orange
03/2021,00:52:42,AIR,AIR,APPROACH,4708,4968,4968.0,24.0,212,231,131.25,0.349,12,84.73,5,-31.046951,-60.229324,-60.23313178,-3.5445547779999984,0.73,1.5,51.6,14.1,7.1,21.2,5175.5,17231.7804,23.4,1.0292,1.1303,123.5,1.5,51.0,2.2,53.2,42.6,63.8,1,0,LOW ENERGY,orange
03/2021,00:52:43,AIR,AIR,APPROACH,4688,4948,4948.0,24.0,211,230,131.25,0.349,12,86.13,5,-31.037796,-60.22921,-60.233017780000004,-3.5353997779999986,0.55,2.0,51.1,14.0,7.0,21.0,5125.4,17067.41232,23.4,1.0292,1.1303,123.5,1.4,50.5,2.2,52.7,42.2,63.2,1,0,LOW ENERGY,orange
03/2021,00:52:44,AIR,AIR,APPROACH,4664,4924,4924.0,24.0,211,230,131.25,0.348,12,88.59,5,-31.02561,-60.229092,-60.232899780000004,-3.523213777999999,0.73,2.7,50.4,13.9,7.0,20.9,5055.2,16837.10016,23.4,1.0292,1.1303,123.5,1.2,49.8,2.2,52.0,41.6,62.4,1,0,LOW ENERGY,orange
03/2021,00:52:45,AIR,AIR,APPROACH,4644,4904,4904.0,24.0,211,230,131.25,0.347,12,90.7,5,-31.016455,-60.22897,-60.23277778,-3.514058777999999,0.55,3.3,49.8,13.9,7.0,20.9,4995.0,16639.596,23.4,1.0292,1.1303,123.5,1.0,49.3,2.2,51.5,41.2,61.8,1,0,LOW ENERGY,orange
03/2021,00:52:46,AIR,AIR,APPROACH,4616,4876,4876.0,24.0,211,230,131.25,0.347,12,92.46,5,-31.004262,-60.228848,-60.23265578,-3.501865777999999,0.73,4.0,49.1,13.8,7.0,20.8,4924.8,16409.283840000004,23.4,1.0292,1.1303,123.5,0.8,48.6,2.2,50.8,40.6,61.0,1,0,LOW ENERGY,orange
03/2021,00:52:47,AIR,AIR,APPROACH,4592,4852,4852.0,24.0,211,230,131.25,0.347,11,93.52,4,-30.992067,-60.228729,-60.232536780000004,-3.489670777999997,0.73,4.8,48.3,13.7,7.0,20.7,4844.5,16145.8356,23.4,1.0292,1.1303,123.5,0.5,47.8,2.2,50.0,40.0,60.0,1,0,LOW ENERGY,orange
03/2021,00:52:48,AIR,AIR,APPROACH,4568,4828,4828.0,24.0,211,230,131.25,0.347,11,94.92,4,-30.982912,-60.228607,-60.23241478,-3.4805157779999973,0.55,5.3,47.8,13.7,7.0,20.7,4794.4,15981.46752,23.4,1.0292,1.1303,123.5,0.4,47.3,2.2,49.5,39.6,59.4,1,0,LOW ENERGY,orange
03/2021,00:52:49,AIR,AIR,APPROACH,4540,4800,4800.0,24.0,211,230,131.25,0.347,11,97.38,4,-30.9707,-60.228493,-60.23230078,-3.4683037779999992,0.73,6.0,47.1,13.6,7.0,20.6,4724.2,15751.15536,23.4,1.0292,1.1303,123.5,0.3,46.6,2.2,48.8,39.0,58.6,1,0,LOW ENERGY,orange
