DATE,TIME,LDGL,LDGR,FPHASE,HEIGHT,ALTSTDC,ALTQNH,TAT,CAS,GS,VLS,MACH,HEAD,WINDIR,WINSPD,LATP,LONP,LONCORR,LATCORR,Delta_D,ACCUM_D,TDD,e_p,e_c,e_tot,H_GEOM_REF_m,H_GEOM_REF_ft,SAT,theta,sigma,TAS,WIND_COMP,e_p_ref,e_c_REF,E_TOT_ref,e_ref_inf,e_ref_supp,FLAG_INF,FLAG_SUP,energy_state,COLOR
01/2021,06:54:59,AIR,AIR,APPROACH,4632,5012,5012.0,24.25,212,222,154.26,0.35,32,68.2,15,-31.682539,-60.275875,-60.278457780000004,-4.196831777999996,0.0,0.0,89.3,13.9,6.5,20.4,8956.9,29637.79752,23.7,1.0302,1.135,144.8,12.1,88.3,3.5,91.8,73.4,110.2,1,0,LOW ENERGY,orange
01/2021,06:55:00,AIR,AIR,APPROACH,4612,4992,4992.0,24.25,211,221,154.26,0.349,32,68.91,15,-31.673384,-60.275265,-60.27784778,-4.187676777999997,0.55,0.6,88.7,13.8,6.5,20.3,8896.7,29440.293360000003,23.7,1.0302,1.135,144.8,12.0,87.7,3.5,91.2,73.0,109.4,1,0,LOW ENERGY,orange
01/2021,06:55:01,AIR,AIR,APPROACH,4592,4972,4972.0,24.25,211,221,154.26,0.349,32,69.61,15,-31.664236,-60.274654,-60.27723678,-4.178528777999997,0.55,1.1,88.2,13.7,6.5,20.2,8846.5,29275.5972,23.7,1.0302,1.135,144.8,11.9,87.2,3.5,90.7,72.6,108.8,1,0,LOW ENERGY,orange
01/2021,06:55:02,AIR,AIR,APPROACH,4568,4948,4948.0,24.25,211,221,154.26,0.348,32,69.96,15,-31.653159,-60.274044,-60.27662678000001,-4.167451777999997,0.67,1.8,87.5,13.7,6.5,20.2,8776.3,29045.28504,23.7,1.0302,1.135,144.8,11.8,86.5,3.5,90.0,72.0,108.0,1,0,LOW ENERGY,orange
01/2021,06:55:03,AIR,AIR,APPROACH,4548,4928,4928.0,24.25,211,221,154.26,0.348,32,70.66,15,-31.644969,-60.273434,-60.276016780000006,-4.159261777999998,0.49,2.3,87.0,13.6,6.5,20.1,8726.2,28880.916960000002,23.7,1.0302,1.135,144.8,11.7,86.0,3.5,89.5,71.6,107.4,1,0,LOW ENERGY,orange
01/2021,06:55:04,AIR,AIR,APPROACH,4524,4904,4904.0,24.25,211,221,154.26,0.347,32,71.02,15,-31.636782,-60.273373,-60.275955780000004,-4.151074777999998,0.49,2.8,86.5,13.5,6.5,20.0,8676.0,28716.220800000003,23.7,1.0302,1.135,144.8,11.7,85.6,3.5,89.1,71.3,106.9,1,0,LOW ENERGY,orange
01/2021,06:55:05,AIR,AIR,APPROACH,4504,4884,4884.0,24.25,211,220,154.26,0.347,32,71.37,15,-31.625705,-60.273312,-60.27589478,-4.139997777999998,0.66,3.4,85.9,13.5,6.4,19.9,8615.8,28518.71664,23.7,1.0302,1.135,144.8,11.6,85.0,3.4,88.4,70.7,106.1,1,0,LOW ENERGY,orange
01/2021,06:55:06,AIR,AIR,APPROACH,4484,4864,4864.0,24.25,211,220,154.26,0.347,32,71.72,15,-31.617513,-60.273254,-60.275836780000006,-4.131805777999997,0.49,3.9,85.4,13.4,6.4,19.8,8565.7,28354.348560000002,23.7,1.0302,1.135,144.8,11.5,84.5,3.4,87.9,70.3,105.5,1,0,LOW ENERGY,orange
01/2021,06:55:07,AIR,AIR,APPROACH,4460,4840,4840.0,24.5,211,220,154.16,0.347,32,71.72,15,-31.609321,-60.273193,-60.275775780000004,-4.123613777999999,0.49,4.4,84.9,13.3,6.4,19.7,8515.5,28189.652400000003,23.9,1.0309,1.1383,144.5,11.5,84.0,3.4,87.4,69.9,104.9,1,0,LOW ENERGY,orange
01/2021,06:55:08,AIR,AIR,APPROACH,4444,4824,4824.0,24.5,211,220,154.16,0.347,32,71.37,15,-31.598253,-60.272831,-60.27541378,-4.112545777999998,0.66,5.1,84.2,13.3,6.4,19.7,8445.3,27959.340239999998,23.9,1.0309,1.1383,144.5,11.6,83.3,3.4,86.7,69.4,104.0,1,0,LOW ENERGY,orange
01/2021,06:55:09,AIR,AIR,APPROACH,4424,4804,4804.0,24.5,210,220,154.16,0.346,32,71.02,15,-31.590059,-60.272221,-60.274803780000006,-4.104351777999998,0.49,5.5,83.8,13.2,6.4,19.6,8405.2,27827.780160000002,23.9,1.0309,1.1383,144.5,11.7,82.9,3.4,86.3,69.0,103.6,1,0,LOW ENERGY,orange
01/2021,06:55:10,AIR,AIR,APPROACH,4404,4784,4784.0,24.5,210,219,154.16,0.346,32,70.66,15,-31.581869,-60.271614,-60.274196780000004,-4.096161777999999,0.49,6.0,83.3,13.2,6.3,19.5,8355.1,27663.412080000002,23.9,1.0309,1.1383,144.5,11.7,82.4,3.4,85.8,68.6,103.0,1,0,LOW ENERGY,orange
01/2021,06:55:11,AIR,AIR,APPROACH,4388,4768,4768.0,24.5,210,219,154.16,0.346,33,70.66,15,-31.570809,-60.271004,-60.27358678,-4.0851017779999985,0.66,6.7,82.6,13.1,6.3,19.4,8284.8,27432.771839999998,23.9,1.0309,1.1383,144.5,11.9,81.7,3.4,85.1,68.1,102.1,1,0,LOW ENERGY,orange
01/2021,06:55:12,AIR,AIR,APPROACH,4372,4752,4752.0,24.5,210,219,154.16,0.345,33,70.31,15,-31.56261,-60.270882,-60.273464780000005,-4.076902777999997,0.49,7.2,82.1,13.1,6.3,19.4,8234.7,27268.403760000005,23.9,1.0309,1.1383,144.5,11.9,81.2,3.4,84.6,67.7,101.5,1,0,LOW ENERGY,orange
01/2021,06:55:13,AIR,AIR,APPROACH,4356,4736,4736.0,24.75,210,218,154.16,0.345,33,70.31,15,-31.55442,-60.27076,-60.27334278000001,-4.068712777999998,0.49,7.7,81.6,13.0,6.3,19.3,8184.5,27103.7076,24.2,1.0319,1.143,144.2,11.9,80.7,3.4,84.1,67.3,100.9,1,0,LOW ENERGY,orange
01/2021,06:55:14,AIR,AIR,APPROACH,4340,4720,4720.0,24.75,209,218,154.16,0.344,33,69.96,15,-31.543372,-60.270634,-60.273216780000006,-4.0576647779999995,0.66,8.3,81.0,13.0,6.3,19.3,8124.4,26906.53152,24.2,1.0319,1.143,144.2,12.0,80.1,3.4,83.5,66.8,100.2,1,0,LOW ENERGY,orange
01/2021,06:55:15,AIR,AIR,APPROACH,4324,4704,4704.0,24.75,209,217,154.16,0.344,33,69.96,15,-31.535175,-60.270512,-60.27309478,-4.049467777999997,0.49,8.8,80.5,12.9,6.2,19.1,8074.2,26741.83536,24.2,1.0319,1.143,144.2,12.0,79.6,3.4,83.0,66.4,99.6,1,0,LOW ENERGY,orange
01/2021,06:55:16,AIR,AIR,APPROACH,4304,4684,4684.0,24.75,209,217,154.16,0.343,33,69.96,15,-31.523931,-60.270084,-60.27266678,-4.038223777999999,0.68,9.5,79.8,12.9,6.2,19.1,8004.0,26511.5232,24.2,1.0319,1.143,144.2,12.0,78.9,3.4,82.3,65.8,98.8,1,0,LOW ENERGY,orange
01/2021,06:55:17,AIR,AIR,APPROACH,4288,4668,4668.0,24.75,209,217,154.16,0.343,33,69.96,15,-31.512897,-60.269478,-60.272060780000004,-4.027189777999997,0.66,10.2,79.1,12.8,6.2,19.0,7933.8,26281.211040000002,24.2,1.0319,1.143,144.2,12.0,78.2,3.4,81.6,65.3,97.9,1,0,LOW ENERGY,orange
01/2021,06:55:18,AIR,AIR,APPROACH,4272,4652,4652.0,24.75,208,216,154.16,0.342,33,69.96,15,-31.504691,-60.268871,-60.27145378,-4.018983777999999,0.49,10.7,78.6,12.8,6.2,19.0,7883.6,26116.514880000002,24.2,1.0319,1.143,144.2,12.0,77.7,3.4,81.1,64.9,97.3,1,0,LOW ENERGY,orange
01/2021,06:55:19,AIR,AIR,APPROACH,4256,4636,4636.0,24.75,208,216,154.16,0.342,33,69.96,15,-31.49344,-60.268265,-60.270847780000004,-4.007732777999998,0.68,11.3,78.0,12.7,6.2,18.9,7823.5,25919.3388,24.2,1.0319,1.143,144.2,12.0,77.1,3.4,80.5,64.4,96.6,1,0,LOW ENERGY,orange
01/2021,06:55:20,AIR,AIR,APPROACH,4240,4620,4620.0,24.75,208,216,154.16,0.341,33,69.96,15,-31.484284,-60.268143,-60.27072578000001,-3.998576777999997,0.55,11.9,77.4,12.7,6.2,18.9,7763.3,25721.83464,24.2,1.0319,1.143,144.2,12.0,76.6,3.4,80.0,64.0,96.0,1,0,LOW ENERGY,orange
01/2021,06:55:21,AIR,AIR,APPROACH,4224,4604,4604.0,24.75,208,215,154.16,0.341,33,69.61,15,-31.475134,-60.268017,-60.270599780000005,-3.9894267779999986,0.55,12.4,76.9,12.6,6.1,18.7,7713.1,25557.13848,24.2,1.0319,1.143,144.2,12.0,76.1,3.4,79.5,63.6,95.4,1,0,LOW ENERGY,orange
